cik,filer_rows,filer_aum,distinct_filer_eids,filer_eid,filer_name,filer_canonical_name,filer_entity_type
0001532943,645,959856281,1,6788,"Palogic Value Management, L.P.","Palogic Value Management, L.P.",institution
0002011385,8,959329596,1,3898,"Catalys Pacific, LLC","Catalys Pacific, LLC",institution
0001964897,946,958956553,1,9320,River Street Advisors LLC,River Street Advisors LLC,institution
0001912562,113,958700414,1,8401,Galaxy Group Investments LLC,Galaxy Group Investments LLC,institution
0002106649,1,957663240,1,10105,Brehaut David Pascal,Brehaut David Pascal,institution
0001791126,438,957538303,1,3433,"Triton Wealth Management, PLLC","Triton Wealth Management, PLLC",institution
0001705712,17,957352331,1,4115,Silver Heights Capital Management Inc,Silver Heights Capital Management Inc,institution
0001542284,413,956092531,1,9875,"Madden Advisory Services, Inc.","Madden Advisory Services, Inc.",institution
0001729304,526,955956089,1,1121,Holistic Financial Partners,Holistic Financial Partners,institution
0002042772,338,954388264,1,1202,"Parkwoods Wealth Partners, LLC","Parkwoods Wealth Partners, LLC",institution
0001322924,136,954056744,1,5969,"S Squared Technology, LLC","S Squared Technology, LLC",institution
0001927474,469,953913503,1,3216,"Powers Advisory Group, LLC","Powers Advisory Group, LLC",institution
0001765768,113,953571109,1,8912,Galibier Capital Management Ltd.,Galibier Capital Management Ltd.,institution
0001910641,204,953389920,1,563,"Bryant Woods Investment Advisors, LLC","Bryant Woods Investment Advisors, LLC",institution
0001965328,433,953042221,1,8811,"Owen LaRue, LLC","Owen LaRue, LLC",institution
0002010098,809,953037296,1,3701,Evergreen Private Wealth LLC,Evergreen Private Wealth LLC,institution
0001714093,883,952949421,1,8275,Garner Asset Management Corp,Garner Asset Management Corp,institution
0001385925,751,952323486,1,8495,"Horrell Capital Management, Inc.","Horrell Capital Management, Inc.",institution
0001964226,246,952215509,1,10822,"Arcadia Wealth Management, LLC","Arcadia Wealth Management, LLC",institution
0001802868,175,951799992,1,6799,TL Private Wealth,TL Private Wealth,institution
0001566113,442,951598489,1,5808,"Court Place Advisors, LLC","Court Place Advisors, LLC",institution
0001904431,550,951087936,1,11211,"Avaii Wealth Management, LLC","AVAII WEALTH MANAGEMENT, LLC",institution
0001730546,840,951031769,1,1629,"Luken Investment Analytics, LLC","Luken Investment Analytics, LLC",institution
0000714562,1725,950991353,1,8967,First Financial Corp /IN/,FIRST FINANCIAL CORP /IN/,institution
0001952722,1869,950564743,1,4410,SWAN Capital LLC,SWAN Capital LLC,institution
0001846789,181,950448624,1,896,"Weitzel Financial Services, Inc.","Weitzel Financial Services, Inc.",institution
0001399386,58,950403857,1,3712,Bandera Partners LLC,Bandera Partners LLC,institution
0002013341,58,950135469,1,8779,Foresite Capital Management VI LLC,Foresite Capital Management VI LLC,institution
0001845536,403,949969058,1,10280,"Kensington Investment Counsel, LLC","Kensington Investment Counsel, LLC",institution
0002011908,422,949883876,1,7090,Able Wealth Management LLC,Able Wealth Management LLC,institution
0002053786,946,949692474,1,8586,"Synergy Investment Management, LLC","Synergy Investment Management, LLC",institution
0002051999,86,949682451,1,1862,Prime Buchholz LLC,Prime Buchholz LLC,institution
0001540866,49,949590792,1,8017,Makaira Partners LLC,Makaira Partners LLC,institution
0001844227,319,948626063,1,1008,"Orin Green Financial, LLC","Orin Green Financial, LLC",institution
0001842560,428,948432465,1,6532,"Flagship Private Wealth, LLC","Flagship Private Wealth, LLC",institution
0001334199,132,948180290,1,649,"Cambridge Financial Group, Inc.","Cambridge Financial Group, Inc.",institution
0002010574,5279,948171016,1,8251,"Sachetta, LLC","Sachetta, LLC",institution
0002054270,677,948008073,1,6556,Crux Wealth Advisors,CRUX WEALTH ADVISORS,institution
0002052321,425,947728895,1,2454,"GKV Capital Management Co., Inc.","GKV Capital Management Co., Inc.",institution
0001427373,179,947419389,1,10237,"Palisades Investment Partners, LLC","Palisades Investment Partners, LLC",institution
0000776867,6,946601294,1,11072,White Mountains Insurance Group Ltd,WHITE MOUNTAINS INSURANCE GROUP LTD,institution
0002049201,1499,946239426,1,2450,"Curio Wealth, LLC","CURIO WEALTH, LLC",institution
0002067126,762,945230923,1,5863,Anb Bank,ANB BANK,institution
0001956564,414,945095031,1,4791,RFP Financial Group LLC,RFP Financial Group LLC,institution
0001759476,374,944721532,1,3461,Shorepoint Capital Partners LLC,Shorepoint Capital Partners LLC,institution
0001911621,938,944220578,1,8245,"Autumn Glory Partners, LLC","Autumn Glory Partners, LLC",institution
0001965479,151,943860062,1,6560,"Walker Financial Services, Inc.","Walker Financial Services, Inc.",institution
0001125824,16,943721594,1,3422,Ge Investment Management Corp.,GE INVESTMENT MANAGEMENT CORP.,institution
0001920117,668,943055557,1,3438,"Hutchens & Kramer Investment Management Group, LLC","Hutchens & Kramer Investment Management Group, LLC",institution
0001009005,371,942301970,1,10462,Shaker Investments LLC /OH/,SHAKER INVESTMENTS LLC/OH,institution
0001791621,11,941675232,1,7913,"Spider Management Company, LLC","Spider Management Company, LLC",institution
0001729516,591,941481030,1,991,"Bigelow Investment Advisors, LLC","Bigelow Investment Advisors, LLC",institution
0001860928,62,940023113,1,627,GP Brinson Investments LLC,GP Brinson Investments LLC,institution
0001795356,366,939506408,1,4617,"Red Spruce Capital, LLC","Red Spruce Capital, LLC",institution
0001862965,194,939141309,1,182,Applied Capital LLC,Applied Capital LLC,institution
0001994744,1356,938769294,1,3260,Centennial Bank/AR/,Centennial Bank/AR/,institution
0001950637,319,938523847,1,11105,"Hibernia Wealth Partners, LLC","Hibernia Wealth Partners, LLC",institution
0001760263,213,938390062,1,278,"Hamilton Wealth, LLC","Hamilton Wealth, LLC",institution
0002009783,276,938182008,1,2180,Balanced Wealth Group LLC,BALANCED WEALTH GROUP LLC,institution
0001776821,241,937607805,1,6961,"Spectrum Wealth Advisory Group, LLC","Spectrum Wealth Advisory Group, LLC",institution
0002037077,43,937573601,1,9456,"Ananym Capital Management, LP","Ananym Capital Management, LP",institution
0001961635,647,937369048,1,6109,Beacon Investment Advisors LLC,BEACON INVESTMENT ADVISORS LLC,institution
0001989031,154,937244197,1,450,Trellis Wealth Advisors LLC,Trellis Wealth Advisors LLC,institution
0001802119,62,936841703,1,9984,Avalon Advisory Group,Avalon Advisory Group,institution
0000918504,389,936613379,1,7600,Birmingham Capital Management Co Inc /AL/,BIRMINGHAM CAPITAL MANAGEMENT CO INC/AL,institution
0001843019,124,936211319,1,1269,EVR Research LP,EVR Research LP,institution
0002007281,254,936203510,1,10801,"Vivid Wealth Management, LLC","Vivid Wealth Management, LLC",institution
