cik,fund_rows,fund_aum,distinct_brand_eids,brand_eid,brand_name,brand_canonical_name,brand_entity_type
0000902259,392,323114061140.59,1,3616,T. Rowe Price,PRICE T ROWE ASSOCIATES INC /MD/,institution
0001331971,46011,322010303463.75336,8,3681,"MANUFACTURERS LIFE INSURANCE COMPANY, THE",AXIOM INVESTORS LLC /DE,institution
0001081400,35155,321207014898.98,2,6053,"Allspring Global Investments Holdings, LLC","Allspring Global Investments Holdings, LLC",institution
0000100334,6067,315125677400.5501,7,12709,Growth Fund,Growth Fund,fund
0001112996,17254,304733794587.26227,2,4,Invesco,Invesco,institution
0001168164,135059,299838553682.1997,1,7984,State Street / SSGA,STATE STREET CORP,institution
0000756913,99567,296141753067.16907,8,3421,MANULIFE FINANCIAL CORP,"Allspring Global Investments, LLC",institution
0000889519,80658,295869751913.58014,2,4375,Vanguard Group,VANGUARD GROUP INC,institution
0000710826,63815,291425250000.21967,13,3586,"Brighthouse Investment Advisers, LLC",BLACKROCK ADVISORS LLC,institution
0001126087,50934,291148673931.9698,18,1355,"Brighthouse Investment Advisers, LLC",FRANKLIN ADVISERS INC,institution
0000908695,61033,286965245943.30994,1,9130,VICTORY CAPITAL MANAGEMENT INC,VICTORY CAPITAL MANAGEMENT INC,institution
0000872323,2841,278877843824.2799,1,64,Oakmark / Harris,Oakmark / Harris,institution
0000798250,418,270229777241.27002,1,17,MFS Investment Management,MFS Investment Management,institution
0000813900,80294,263255406957.78043,51,1013,PD Small-Cap Growth Index Portfolio,"Clearbridge Investments, LLC",institution
0000880366,8828,262503096318.03018,5,1013,Franklin Templeton,"Clearbridge Investments, LLC",institution
0000892538,95791,247509893073.85022,3,2232,Wellington Management Co LLP,"SUNAMERICA ASSET MANAGEMENT, LLC",institution
0000080257,457,247374046375.87003,1,3616,T. Rowe Price,PRICE T ROWE ASSOCIATES INC /MD/,institution
0000831016,42155,245390804190.99976,2,3512,Fidelity / FMR,FIL Investment Advisors,institution
0001329954,2202,244158914991.0001,3,9143,"MANUFACTURERS LIFE INSURANCE COMPANY, THE",Boston Partners,institution
0000105544,7675,242714274543.02997,1,11220,Wellington Management,WELLINGTON MANAGEMENT GROUP LLP,institution
0001424958,18071,241788317218.90994,1,6829,"Rafferty Asset Management, LLC","Rafferty Asset Management, LLC",institution
0001352280,17639,238384268252.4499,2,8654,Ameriprise Financial,"Columbia Management Investment Advisers, LLC",institution
0000932471,8190,233919245991.52026,4,6309,BAILLIE GIFFORD & CO,PRIMECAP MANAGEMENT CO/CA/,institution
0000356476,44947,231278827795.4098,18,1355,"Empower Capital Management, LLC",FRANKLIN ADVISERS INC,institution
0001282693,20788,227276046889.71033,1,73,Baird,Baird,institution
0000861929,3033,226610542946.29004,1,5026,Dimensional Fund Advisors,DIMENSIONAL FUND ADVISORS LP,institution
0001378872,42669,221351016426.49048,1,4,Invesco,Invesco,institution
0000745463,21773,220721648439.06976,3,2920,Morgan Stanley Investment Management,MORGAN STANLEY,institution
0000035341,6606,220686457981.39,1,10443,Fidelity / FMR,FMR LLC,institution
0000857490,32231,215147898854.63013,6,58,Vanguard Group,Lazard Asset Management,institution
0000035348,3490,208936303905.89,1,10443,Fidelity / FMR,FMR LLC,institution
0000909994,19998,208176339794.72998,4,6410,BESSEMER INVESTMENT MANAGEMENT LLC,BESSEMER INVESTMENT MANAGEMENT LLC,institution
0000216934,596,205673857841.3491,1,1355,Putnam Investments,FRANKLIN ADVISERS INC,institution
0000836906,24049,204277442697.6897,1,1,,Vanguard Group,institution
0000858581,29002,203950048535.4802,2,13,T. Rowe Price,T. Rowe Price,institution
