series_id,fund_name,family_name,current_fund_strategy,proposed_fund_strategy,total_net_assets,triggering_pattern
S000050532,Direxion Daily Pharmaceutical & Medical Bull 3X Shares,Direxion Shares ETF Trust,balanced,passive,17933256.35,leveraged_digit_x
S000004473,OIL & GAS EQUIPMENT & SERVICES ULTRASECTOR PROFUND,ProFunds,balanced,passive,17926478.55,profund
S000008839,ULTRAEMERGING MARKETS PROFUND,ProFunds,balanced,passive,17905444.72,profund
S000003953,PROFUND VP EUROPE 30,ProFunds,equity,passive,17173720.8,profund
S000056587,Natixis Target Retirement 2030 Fund,Natixis Funds Trust IV,balanced,passive,17024793.9,target_retirement
S000014262,ProShares Ultra Utilities,ProShares Trust,balanced,passive,16860444.1,proshares
S000003973,PROFUND VP INDUSTRIALS,ProFunds,equity,passive,16754430.88,profund
S000080324,American Funds IS 2045 Target Date Fund,AMERICAN FUNDS INSURANCE SERIES,equity,passive,16574048.23,target_date
S000012879,ULTRALATIN AMERICA PROFUND,ProFunds,balanced,passive,16352109.17,profund
S000080310,Fidelity Sustainable Target Date 2040 Fund,Fidelity Aberdeen Street Trust,equity,passive,15689403.15,target_date
S000003951,PROFUND VP SMALLCAP GROWTH,ProFunds,equity,passive,15617938.85,profund
S000003986,PROFUND VP LARGE CAP VALUE,ProFunds,equity,passive,15508702.9,profund
S000080300,Fidelity Sustainable Target Date 2050 Fund,Fidelity Aberdeen Street Trust,equity,passive,15174765.6,target_date
S000003957,PROFUND VP ULTRA SMALL CAP,ProFunds,balanced,passive,14957855.34,profund
S000003690,Inverse Government Long Bond Strategy Fund,Rydex Series Funds,multi_asset,passive,14728958.91,inverse
S000057169,Direxion Daily Transportation Bull 3X Shares,Direxion Shares ETF Trust,balanced,passive,14420891.21,leveraged_digit_x
S000014250,ProShares Ultra Consumer Staples,ProShares Trust,balanced,passive,14401655.54,proshares
S000003980,PROFUND VP COMMUNICATION SERVICES,ProFunds,equity,passive,14235216.4,profund
S000014261,ProShares Ultra Communication Services,ProShares Trust,balanced,passive,13813531.27,proshares
S000003685,Mid-Cap 1.5x Strategy Fund,Rydex Series Funds,balanced,passive,13633719.3,leveraged_digit_x
S000003989,PROFUND VP MIDCAP GROWTH,ProFunds,equity,passive,13594463.77,profund
S000014251,ProShares Ultra Consumer Discretionary,ProShares Trust,equity,passive,13553940.76,proshares
S000003974,PROFUND VP INTERNET,ProFunds,equity,passive,13264900.11,profund
S000055689,PGIM Target Date 2055 Fund,Prudential Investment Portfolios 5,equity,passive,13152781.29,target_date
S000055690,PGIM Target Date 2060 Fund,Prudential Investment Portfolios 5,equity,passive,12833884.72,target_date
S000080311,Fidelity Sustainable Target Date 2045 Fund,Fidelity Aberdeen Street Trust,equity,passive,12831619.69,target_date
S000080308,Fidelity Sustainable Target Date 2030 Fund,Fidelity Aberdeen Street Trust,equity,passive,12327063.01,target_date
S000003966,PROFUND VP MATERIALS,ProFunds,equity,passive,11719377.87,profund
S000080301,Fidelity Sustainable Target Date 2055 Fund,Fidelity Aberdeen Street Trust,equity,passive,11436898.36,target_date
S000080325,American Funds IS 2050 Target Date Fund,AMERICAN FUNDS INSURANCE SERIES,equity,passive,11382619.13,target_date
S000018291,Emerging Markets 2x Strategy Fund,Rydex Series Funds,multi_asset,passive,10983001.31,leveraged_digit_x
S000019110,Madison Target Retirement 2020 Fund,ULTRA SERIES FUND,equity,passive,10965212.23,target_retirement
S000003972,PROFUND VP SMALL CAP,ProFunds,multi_asset,passive,10824793.67,profund
S000080309,Fidelity Sustainable Target Date 2035 Fund,Fidelity Aberdeen Street Trust,equity,passive,10799383.45,target_date
S000003113,INDUSTRIALS ULTRASECTOR PROFUND,ProFunds,balanced,passive,10682142.87,profund
S000003968,PROFUND VP CONSUMER STAPLES,ProFunds,equity,passive,10578498.73,profund
S000003975,PROFUND VP PHARMACEUTICALS,ProFunds,equity,passive,10489702.19,profund
S000003988,PROFUND VP MIDCAP VALUE,ProFunds,equity,passive,10294453.86,profund
S000003099,UTILITIES ULTRASECTOR PROFUND,ProFunds,balanced,passive,10162462.22,profund
S000003956,PROFUND VP ULTRAMID CAP,ProFunds,balanced,passive,9403832.86,profund
S000080302,Fidelity Sustainable Target Date 2060 Fund,Fidelity Aberdeen Street Trust,equity,passive,9358063.62,target_date
S000003068,MID-CAP PROFUND,ProFunds,balanced,passive,9286709.35,profund
S000003074,MID-CAP GROWTH PROFUND,ProFunds,equity,passive,9136996.59,profund
S000007044,Direxion Monthly Small Cap Bull 1.75X Fund,Direxion Funds,balanced,passive,8840583.23,leveraged_digit_x
S000003091,BANKS ULTRASECTOR PROFUND,ProFunds,balanced,passive,8811690.3,profund
S000003697,Russell 2000 1.5x Strategy Fund,Rydex Series Funds,balanced,passive,8443199.78,leveraged_digit_x
S000070706,Direxion Daily Cloud Computing Bull 2X Shares,Direxion Shares ETF Trust,balanced,passive,8375666.09,leveraged_digit_x
S000003109,CONSUMER STAPLES ULTRASECTOR PROFUND,ProFunds,balanced,passive,8359091.78,profund
S000003111,FINANCIALS ULTRASECTOR PROFUND,ProFunds,balanced,passive,7566448.32,profund
S000003069,SMALL-CAP PROFUND,ProFunds,multi_asset,passive,7507747.94,profund
S000056586,Natixis Target Retirement 2025 Fund,Natixis Funds Trust IV,balanced,passive,7273917.86,target_retirement
S000072081,Direxion Daily Travel & Vacation Bull 2X Shares,Direxion Shares ETF Trust,balanced,passive,7010726.52,leveraged_digit_x
S000003753,Dow 2x Strategy Fund,Rydex Variable Trust,balanced,passive,6934257.91,leveraged_digit_x
S000003075,SMALL-CAP VALUE PROFUND,ProFunds,equity,passive,6889182.42,profund
S000080326,American Funds IS 2055 Target Date Fund,AMERICAN FUNDS INSURANCE SERIES,equity,passive,6714761.28,target_date
S000085285,SP Funds 2040 Target Date Fund,SP Funds Trust,equity,passive,6531838.43,target_date
S000080303,Fidelity Sustainable Target Date 2065 Fund,Fidelity Aberdeen Street Trust,equity,passive,6120563.86,target_date
S000078170,Direxion Daily Crypto Industry Bull 2X Shares,Direxion Shares ETF Trust,balanced,passive,6097117.89,leveraged_digit_x
S000003061,EUROPE 30 PROFUND,ProFunds,equity,passive,5672359.34,profund
S000085284,SP Funds 2030 Target Date Fund,SP Funds Trust,equity,passive,5568385.92,target_date
S000003071,LARGE-CAP VALUE PROFUND,ProFunds,equity,passive,5137661.22,profund
S000075767,Direxion Daily Electric and Autonomous Vehicles Bull 2X Shares,Direxion Shares ETF Trust,multi_asset,passive,5053932.77,leveraged_digit_x
S000003977,PROFUND VP REAL ESTATE,ProFunds,equity,passive,4983117.23,profund
S000080306,Fidelity Sustainable Target Date 2020 Fund,Fidelity Aberdeen Street Trust,equity,passive,4811099.04,target_date
S000085286,SP Funds 2050 Target Date Fund,SP Funds Trust,equity,passive,4622556.01,target_date
S000080307,Fidelity Sustainable Target Date 2025 Fund,Fidelity Aberdeen Street Trust,equity,passive,4614676.4,target_date
S000074738,Natixis Target Retirement 2065 Fund,Natixis Funds Trust IV,equity,passive,4556255.93,target_retirement
S000003964,PROFUND VP BANKS,ProFunds,equity,passive,4486507.1,profund
