block,series_id,fund_name,current_value,proposed_value,source,new_strategy_source,support_quarter,support_row_count,support_sum_mv,support_implied_nav
B,S000088551,GMO U.S. Value ETF,,67035117.54,canonical_nport,orphan_backfill_2026Q2,2025Q4,167,66975435.69,67035117.54
B,S000088672,Indexperts Gorilla Aggressive Growth ETF,,41869841.71,canonical_nport,orphan_backfill_2026Q2,2026Q1,172,42383247.51,41869841.71
B,S000088673,Indexperts Quality Earnings Focused ETF,,37325766.86,canonical_nport,orphan_backfill_2026Q2,2026Q1,134,37335723.41,37325766.86
B,S000088674,Indexperts Yield Focused Fixed Income ETF,,22811886.79,canonical_nport,orphan_backfill_2026Q2,2026Q1,79,22825124.49,22811886.79
B,S000089262,Day Hagan Smart Buffer ETF,,41391159.77,canonical_nport,orphan_backfill_2026Q2,2026Q1,4,41281812.00,41391159.77
B,S000089355,Eventide US Market ETF,,138081962.89,canonical_nport,orphan_backfill_2026Q2,2026Q1,200,137403155.48,138081962.89
B,S000089384,Obra Defensive High Yield ETF,,5135575.27,canonical_nport,orphan_backfill_2026Q2,2025Q4,141,5082416.83,5135575.27
B,S000089482,PLUS Korea Defense Industry Index ETF,,57349455.71,canonical_nport,orphan_backfill_2026Q2,2025Q4,25,57370744.70,57349455.71
B,S000089486,Genter Capital Dividend Income ETF,,8838884.48,canonical_nport,orphan_backfill_2026Q2,2026Q1,33,8821962.73,8838884.48
B,S000089487,Genter Capital International Dividend ETF,,3853834.65,canonical_nport,orphan_backfill_2026Q2,2026Q1,36,3843771.34,3853834.65
B,S000090015,Nomura National High-Yield Municipal Bond ETF,,32170924.12,canonical_nport,orphan_backfill_2026Q2,2025Q4,132,31584246.03,32170924.12
B,S000090077,Rareview 2x Bull Cryptocurrency & Precious Metals ETF,,4555216.40,canonical_nport,orphan_backfill_2026Q2,2025Q4,4,-280829.84,4555216.40
B,S000090213,American Beacon Ionic Inflation Protection ETF,,10451166.75,canonical_nport,orphan_backfill_2026Q2,2026Q1,16,10415314.78,10451166.75
B,S000090721,E*TRADE No Fee Municipal Bond Index Fund,,27607521.13,canonical_nport,orphan_backfill_2026Q2,2026Q1,123,28896354.56,27607521.13
B,S000090723,E*TRADE No Fee U.S. Bond Index Fund,,28663731.30,canonical_nport,orphan_backfill_2026Q2,2026Q1,94,28488457.00,28663731.30
B,S000091576,CoinShares Altcoins ETF,,1751636.99,canonical_nport,orphan_backfill_2026Q2,2025Q4,22,1613307.05,1751636.99
B,S000091902,Dan IVES Wedbush AI Revolution ETF,,1034487643.80,canonical_nport,orphan_backfill_2026Q2,2026Q1,31,1035098027.13,1034487643.80
B,S000092393,Monopoly ETF,,12704860.73,canonical_nport,orphan_backfill_2026Q2,2026Q1,99,12666444.83,12704860.73
B,S000093092,Rayliant-ChinaAMC Transformative China Tech ETF,,13983954.95,canonical_nport,orphan_backfill_2026Q2,2025Q4,102,14006744.43,13983954.95
B,S000093217,Crossmark Large Cap Growth ETF,,23056793.96,canonical_nport,orphan_backfill_2026Q2,2026Q1,29,23036438.52,23056793.96
B,S000093218,Crossmark Large Cap Value ETF,,13090703.96,canonical_nport,orphan_backfill_2026Q2,2026Q1,53,13063144.76,13090703.96
B,S000093420,First Eagle High Yield Municipal Completion Fund,,15253087.86,canonical_nport,orphan_backfill_2026Q2,2026Q1,72,15904081.22,15253087.86
B,S000094339,WarCap Unconstrained Equity ETF,,60672551.66,canonical_nport,orphan_backfill_2026Q2,2026Q1,22,63114347.55,60672551.66
B,S000094624,Federated Hermes Enhanced Income ETF,,14090835.04,canonical_nport,orphan_backfill_2026Q2,2026Q1,55,14101357.92,14090835.04
B,S000094625,Federated Hermes MDT Market Neutral ETF,,26682628.38,canonical_nport,orphan_backfill_2026Q2,2025Q4,397,26707352.29,26682628.38
B,S000094663,Prospera Income ETF,,2154444.05,canonical_nport,orphan_backfill_2026Q2,2025Q4,33,2130163.25,2154444.05
B,S000094773,Nelson Select ETF,,41690149.85,canonical_nport,orphan_backfill_2026Q2,2025Q4,62,41284759.94,41690149.85
B,S000094780,GMO Domestic Resilience ETF,,29394413.74,canonical_nport,orphan_backfill_2026Q2,2025Q4,38,29393749.05,29394413.74
B,S000094781,GMO Dynamic Allocation ETF,,18701033.38,canonical_nport,orphan_backfill_2026Q2,2025Q4,17,18703767.47,18701033.38
B,S000094783,GMO Ultra-Short Income ETF,,7494034.55,canonical_nport,orphan_backfill_2026Q2,2025Q4,45,7422789.64,7494034.55
B,S000094833,Man Active High Yield ETF,,19877493.32,canonical_nport,orphan_backfill_2026Q2,2025Q4,101,18407488.37,19877493.32
B,S000094834,Man Active Income ETF,,21374874.06,canonical_nport,orphan_backfill_2026Q2,2025Q4,68,21209460.10,21374874.06
B,S000095116,AMG GW&K Muni Income ETF,,10471486.19,canonical_nport,orphan_backfill_2026Q2,2025Q4,51,10390098.61,10471486.19
B,S000095343,ARK DIET Q1 Buffer ETF,,1467733.66,canonical_nport,orphan_backfill_2026Q2,2026Q1,5,1467721.55,1467733.66
B,S000095346,ARK DIET Q4 Buffer ETF,,2768353.09,canonical_nport,orphan_backfill_2026Q2,2026Q1,5,2768529.91,2768353.09
