fund_cik,sample_fund_name,n_rows,aum_billions,classification,target_entity_id
0001847310,"Short Term Investment Fund for Puerto Rico Residents, Inc.",27,0.135520,UNMATCHED,
0000717854,ELFUN INCOME FUND,1059,0.134665,UNMATCHED,
0001779306,AltShares Event-Driven ETF,357,0.109298,UNMATCHED,
0002048903,E*TRADE No Fee Municipal Bond Index Fund,398,0.099408,UNMATCHED,
0001866278,Atlas U.S. Tactical Income Fund,78,0.075305,UNMATCHED,
0001643838,IDX Adaptive Opportunities Fund,63,0.070650,UNMATCHED,
0001843749,"U.S. Monthly Income Fund for Puerto Rico Residents, Inc.",62,0.069546,UNMATCHED,
0002062986,Crossmark Large Cap Growth ETF,163,0.065197,UNMATCHED,
0001969995,Macquarie National High-Yield Municipal Bond ETF,247,0.060206,UNMATCHED,
0002043390,LOGIQ Contrarian Opportunities ETF,73,0.057880,UNMATCHED,
0001532206,Arrow Dow Jones Global Yield ETF,289,0.054137,UNMATCHED,
0001667919,FT Vest U.S. Equity Buffer & Digital Return ETF - January,34,0.046924,UNMATCHED,
0002065379,Man Active High Yield ETF,169,0.039617,UNMATCHED,
0002060415,First Eagle High Yield Municipal Completion Fund,140,0.032320,UNMATCHED,
0000945908,Fidelity CLO ETF,20,0.028462,CARVED_OUT,10443
0001208252,CM ADVISORS FIXED INCOME FUND,82,0.027809,UNMATCHED,
0001852344,International Portfolio I,231,0.026691,UNMATCHED,
0001100663,iShares Total USD Fixed Income Market ETF,825,0.026455,UNMATCHED,
0001875710,Build Bond Innovation ETF,221,0.021890,UNMATCHED,
0001562565,Fidelity AAA CLO ETF,59,0.020179,UNMATCHED,
0000879947,AMG GW&K Muni Income ETF,51,0.010390,UNMATCHED,
0001722388,VistaShares Target 15 S&P 100 Distribution ETF,166,0.006164,UNMATCHED,
0001345125,Cyber Hornet S&P 500 and Bitcoin 75/25 Strategy ETF,505,0.006089,UNMATCHED,
0001953487,Fundamentals First ETF,93,0.005704,UNMATCHED,
0001901443,X-Square Municipal Income ETF,14,0.004479,UNMATCHED,
0001924868,IncomeSTKd 1x Bitcoin & 1x Gold Premium ETF,20,0.002982,UNMATCHED,
0001771146,T-REX 2X Long SOL Daily Target ETF,34,0.001788,UNMATCHED,
0001174610,ProShares CoinDesk Crypto 20 ETF,2,-0.000910,UNMATCHED,
