entity_id,canonical_name,entity_type_entities,ECH_source,institution_aum_usd,fund_rollup_aum_usd,signal_A_hit,signal_B_hit,signal_C_hit,signal_C_label,signal_D_hit,signal_D_value,signal_E_hit,signal_E_value,tier,recommended_wave,rationale
6798,"ICONIQ Strategic Partners IV GP, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
10203,"Bain Capital Life Sciences Partners, LP",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
10705,"BCPE Nucleon Investors, LP",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
8403,CUSO Financial Services L.P. /CA,institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
3994,Tetragon Partners UK LLP,institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
18922,"TIFF Advisory Services, LLC",institution,default_unknown,0.0,0.0,False,True,False,,False,,False,,B,4,N-CEN role=adviser only (no class signal)
19641,Metlife Investment Advisors LLC,institution,default_unknown,0.0,0.0,False,True,False,,False,,False,,B,4,N-CEN role=subadviser only (no class signal)
7881,"BENJAMIN F. EDWARDS & COMPANY, INC.",institution,managers,0.0,0.0,True,False,False,,False,,False,,B,4,ADV present but strategy_inferred=unknown
1257,"Silver Lake Technology Associates IV, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
1841,"Coalescence Global Opportunities Fund, LP",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
2524,"Insight Venture Associates X, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
5599,"Bain Capital Life Sciences Fund IV, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
7349,"WC PARTNERS EXECUTIVE IV, L.P.",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
9797,"BCPE Watson (DE) BML, LP",institution,managers,0.0,0.0,False,False,True,hedge_fund_candidate,False,,False,,B,4,LP-suffix candidate (weak)
