outer_top_parent,outer_family,family_match,n_rows,aum_b
22.0,"EMPOWER FUNDS, INC.",unknown_match,1,0.00134964298
22.0,EQ Advisors Trust,unknown_match,4,0.0091005707
22.0,Eaton Vance Special Investment Trust,intra_family,2,1.08264461661
22.0,Forethought Variable Insurance Trust,extra_family,14,0.05413386402
22.0,GOLDMAN SACHS TRUST,extra_family,8,0.04168731669
22.0,GOLDMAN SACHS TRUST,intra_family,16,0.6566052648299999
22.0,GPS Funds I,extra_family,200,0.20440392457999998
22.0,Greater India Portfolio,extra_family,4,0.014293516820000001
22.0,JNL Series Trust,extra_family,7,0.32963176277999995
22.0,PACIFIC SELECT FUND,intra_family,35,6.220501656310001
22.0,Penn Series Funds Inc,extra_family,11,0.01336950719
22.0,Penn Series Funds Inc,intra_family,4,0.04028501986
22.0,Penn Series Funds Inc,unknown_match,1,0.0014125623000000001
22.0,SEASONS SERIES TRUST,extra_family,39,0.08144281949000001
22.0,TRANSAMERICA SERIES TRUST,extra_family,16,0.061452779330000006
22.0,VALIC Co I,intra_family,10,1.02879335789
25.0,DEUTSCHE DWS ASSET ALLOCATION TRUST,extra_family,88,0.08032976693999999
25.0,DEUTSCHE DWS EQUITY 500 INDEX PORTFOLIO,extra_family,81,0.5277929984599999
25.0,DEUTSCHE DWS EQUITY 500 INDEX PORTFOLIO,unknown_match,1,0.0027817375
25.0,DEUTSCHE DWS INCOME TRUST,extra_family,10,0.02614875846
25.0,DEUTSCHE DWS INSTITUTIONAL FUNDS,intra_family,2,1.92969029256
25.0,"DEUTSCHE DWS INTERNATIONAL FUND, INC.",extra_family,21,0.08189999701999999
25.0,"DEUTSCHE DWS INTERNATIONAL FUND, INC.",intra_family,2,0.00263582838
25.0,DEUTSCHE DWS INVESTMENT TRUST,extra_family,92,2.21217713102
25.0,DEUTSCHE DWS INVESTMENTS VIT FUNDS,extra_family,273,0.27174438514
25.0,DEUTSCHE DWS INVESTMENTS VIT FUNDS,unknown_match,1,0.0012214029
25.0,DEUTSCHE DWS MARKET TRUST,extra_family,20,0.37202859926
25.0,DEUTSCHE DWS MUNICIPAL TRUST,extra_family,2,0.00501316704
25.0,DEUTSCHE DWS PORTFOLIO TRUST,extra_family,6,0.010905788010000002
25.0,DEUTSCHE DWS SECURITIES TRUST,extra_family,10,0.53956245622
25.0,DEUTSCHE DWS STATE TAX-FREE INCOME SERIES,extra_family,1,0.00465599272
25.0,DEUTSCHE DWS VARIABLE SERIES I,extra_family,42,0.2202975451
25.0,DEUTSCHE DWS VARIABLE SERIES I,intra_family,1,0.00027329191
25.0,DEUTSCHE DWS VARIABLE SERIES II,extra_family,56,0.06053520646999999
25.0,DEUTSCHE DWS VARIABLE SERIES II,intra_family,2,0.00088185463
26.0,BNY MELLON FUNDS TRUST,extra_family,21,0.05570873743000001
26.0,"BNY MELLON INDEX FUNDS, INC.",extra_family,186,0.8386967886299999
26.0,"BNY MELLON INDEX FUNDS, INC.",unknown_match,1,0.0039438855
26.0,BNY MELLON INVESTMENT PORTFOLIOS,extra_family,77,0.06880645179999999
26.0,"BNY MELLON MIDCAP INDEX FUND, INC.",extra_family,45,0.14167151034
26.0,"BNY MELLON STOCK INDEX FUND, INC.",extra_family,82,0.9142245276900001
26.0,"BNY MELLON STOCK INDEX FUND, INC.",unknown_match,1,0.004716385900000001
26.0,BNY MELLON VARIABLE INVESTMENT FUND,extra_family,8,0.04418827859999999
26.0,"BNY Mellon Advantage Funds, Inc.",extra_family,19,3.40106825471
26.0,BNY Mellon ETF Trust,extra_family,280,1.4805419979700003
26.0,BNY Mellon ETF Trust,unknown_match,1,0.0072915345
26.0,BNY Mellon ETF Trust II,extra_family,26,0.21301847864999998
26.0,BNY Mellon Investment Funds I,extra_family,26,0.06588558238000002
26.0,BNY Mellon Investment Funds III,extra_family,9,0.03115766929
26.0,"BNY Mellon Investment Funds IV, Inc.",extra_family,84,0.4323035397400001
26.0,"BNY Mellon Investment Funds IV, Inc.",unknown_match,1,0.0023811165
26.0,EQ Advisors Trust,unknown_match,32,0.32734048332
26.0,HC Capital Trust,unknown_match,203,0.58557608016
26.0,JNL Series Trust,extra_family,156,9.588655991440001
26.0,JNL Series Trust,unknown_match,1,0.006027124599999999
26.0,SIX CIRCLES TRUST,extra_family,139,1.0757373213399999
26.0,SIX CIRCLES TRUST,unknown_match,1,0.00027233009999999997
26.0,WisdomTree Digital Trust,extra_family,114,0.006765165930000001
26.0,WisdomTree Digital Trust,intra_family,31,0.0019310552000000004
26.0,WisdomTree Digital Trust,unknown_match,1,2.28943e-05
26.0,WisdomTree Trust,extra_family,371,0.98262680579
26.0,WisdomTree Trust,intra_family,6,0.00369538799
26.0,WisdomTree Trust,unknown_match,1,0.0015984384
29.0,Legg Mason ETF Investment Trust,extra_family,87,0.38927417558000005
29.0,Legg Mason Partners Income Trust,extra_family,14,0.00991133423
29.0,Legg Mason Partners Institutional Trust,extra_family,3,5.231317999999999e-05
29.0,Legg Mason Partners Variable Income Trust,extra_family,6,9.57138e-06
31.0,AQR Funds,extra_family,1800,1.01741086692
31.0,AQR Funds,unknown_match,12,0.044404055199999994
51.0,CLAYTON STREET TRUST,extra_family,23,0.79762047704
51.0,JANUS ASPEN SERIES,extra_family,97,2.9190312616100003
51.0,JANUS ASPEN SERIES,intra_family,1,0.00777981553
51.0,JANUS ASPEN SERIES,unknown_match,3,0.023765724299999996
51.0,JANUS INVESTMENT FUND,extra_family,218,28.57905950013
51.0,JANUS INVESTMENT FUND,intra_family,47,0.45331800436999997
51.0,JANUS INVESTMENT FUND,unknown_match,6,0.5267144309
51.0,Janus Detroit Street Trust,extra_family,36,0.09774220984
51.0,Janus Detroit Street Trust,intra_family,2,0.0070156896000000005
52.0,Columbia ETF Trust I,extra_family,253,1.14568785079
