fund_cik,n_rows,aum_b,n_series,sample_family,sample_fund
0001090682,89,0.45771202696,1,Voya Variable Insurance Trust,VY BrandyWineGLOBAL - Bond Portfolio
0001492374,429,0.44878749590999933,1,Destra Investment Trust,Destra Flaherty & Crumrine Preferred and Income Fund
0000906236,333,0.38681223687000005,1,Voyageur Mutual Funds,Macquarie Tax-Free Idaho Fund
0000750909,96,0.36850846247999997,1,Hawaiian Tax-Free Trust,Hawaiian Tax-Free Trust
0000925737,428,0.33907897202000004,1,BISHOP STREET FUNDS,Hawaii Municipal Bond Fund
0001225290,71,0.3223627317900001,1,SMA RELATIONSHIP TRUST,Series M
0000072760,89,0.25631440978128006,1,NORTHEAST INVESTORS TRUST,NORTHEAST INVESTORS TRUST
0000870355,496,0.22117220963000064,1,Quaker Investment Trust,CCM Affordable Housing MBS ETF
0002069687,121,0.1956785342699999,2,FIS Trust,FIS Christian Stock Fund
0001796383,171,0.17710503965000005,2,Siren ETF Trust,Siren DIVCON Leaders Dividend ETF
0001026634,115,0.15001395301000003,2,RENAISSANCE CAPITAL GREENWICH FUNDS,Renaissance IPO ETF
0001847310,27,0.13551963009,1,"Short Term Investment Fund for Puerto Rico Residents, Inc.","Short Term Investment Fund for Puerto Rico Residents, Inc."
0000717854,1059,0.13466465184000004,1,ELFUN INCOME FUND,ELFUN INCOME FUND
0001779306,357,0.10929767113999997,2,AltShares Trust,AltShares Merger Arbitrage ETF
0002048903,398,0.09940839833999997,2,E Trade Trust,E*TRADE No Fee Municipal Bond Index Fund
0001866278,78,0.07530497794999998,1,"Atlas U.S. Tactical Income Fund, Inc.",Atlas U.S. Tactical Income Fund
0001643838,63,0.07065009522999996,2,Trailmark Series Trust,IDX Risk-Managed Digital Assets Strategy Fund
0001843749,62,0.06954608302000001,1,"U.S. Monthly Income Fund for Puerto Rico Residents, Inc.","U.S. Monthly Income Fund for Puerto Rico Residents, Inc."
0002062986,163,0.06519729586999998,2,Crossmark ETF Trust,Crossmark Large Cap Growth ETF
0001969995,247,0.06020596846000001,1,Macquarie ETF Trust,Macquarie National High-Yield Municipal Bond ETF
0002043390,73,0.05787981918999999,1,Tidal Trust IV,LOGIQ Contrarian Opportunities ETF
0001532206,289,0.054136782029999955,1,Arrow ETF Trust,Arrow Dow Jones Global Yield ETF
0001667919,34,0.04692441414999999,2,First Trust Exchange-Traded Fund VIII,FT Vest U.S. Equity Dual Directional Buffer ETF - February
0002065379,169,0.03961694847,2,Man ETF Series Trust,Man Active High Yield ETF
0002060415,140,0.032320092509999995,1,First Eagle High Yield Municipal Completion Fund,First Eagle High Yield Municipal Completion Fund
0000945908,20,0.028461500799999997,1,Fidelity Covington Trust,Fidelity CLO ETF
0001208252,82,0.027809060309999984,1,CM Advisors Family of Fund,CM ADVISORS FIXED INCOME FUND
0001852344,231,0.026690698170000013,6,Multi-Select Securities Fund for Puerto Rico Residents,Large Cap Value Portfolio I
0001100663,825,0.026455210990000005,1,iShares Trust,iShares Total USD Fixed Income Market ETF
0001875710,221,0.021889862240000005,1,Build Funds Trust,Build Bond Innovation ETF
0001562565,59,0.020179032399999998,1,Fidelity Merrimack Street Trust,Fidelity AAA CLO ETF
0000879947,51,0.01039009861,1,AMG ETF Trust,AMG GW&K Muni Income ETF
0001722388,166,0.0061636945599999994,2,Tidal Trust III,VistaShares Target 15 S&P 100 Distribution ETF
0001345125,505,0.006088753800000005,1,CYBER HORNET Trust,Cyber Hornet S&P 500 and Bitcoin 75/25 Strategy ETF
0001953487,93,0.005703688019999998,1,Mason Capital Fund Trust,Fundamentals First ETF
0001901443,14,0.00447884169,1,X-Square Series Trust,X-Square Municipal Income ETF
0001924868,20,0.00298170645,3,Tidal Trust II,Quantify 2X Daily Alt Season Crypto ETF
0001771146,34,0.00178830228,3,ETF Opportunities Trust,Tuttle Capital Magnificent 7 Income Blast ETF
0001174610,2,-0.00090973042,1,ProShares Trust,ProShares CoinDesk Crypto 20 ETF
