relationship_id,parent_entity_id,parent_name,parent_aum,parent_cik,child_entity_id,child_name,child_aum,child_cik,relationship_type,category
13516,2110,VVR Holdings LLC,0.0,0002070884,1696,Brown Advisory Investment Solutions Group LLC,0.0,0001742043,parent_brand,D
13518,2483, NEUBERGER BERMAN GROUP LLC,0.0,0001465109,1681, NEUBERGER BERMAN INVESTMENT ADVISERS LLC,0.0,0001230440,wholly_owned,D
13519,10732,Fortress Operating Entity I LP,0.0,0001387344,3659,FIG LLC,0.0,0001245521,wholly_owned,D
13520,6081,Fortress Investment Group LLC,0.0,0001380393,3659,FIG LLC,0.0,0001245521,wholly_owned,D
13521,4538,FINCO I Intermediate Holdco LLC,0.0,0002024037,3659,FIG LLC,0.0,0001245521,wholly_owned,D
13522,6576,FINCO I LLC,0.0,0002024235,3659,FIG LLC,0.0,0001245521,wholly_owned,D
13523,7091,"FIG Parent, LLC",0.0,0002024041,3659,FIG LLC,0.0,0001245521,wholly_owned,D
13524,5286,Foundation Holdco LP,0.0,0002024043,3659,FIG LLC,0.0,0001245521,wholly_owned,D
13525,10418,MEDICI CAPITAL LLC,0.0,0001777234,3659,FIG LLC,0.0,0001245521,wholly_owned,D
14072,3785,"EMG Holdings, L.P.",0.0,0001478394,4357,ARES MANAGEMENT LLC,0.0,0001259313,wholly_owned,D
14073,19870,Q3 Asset Management Corporation,0.0,,4357,ARES MANAGEMENT LLC,0.0,0001259313,wholly_owned,D
14338,4712,STEEL PARTNERS HOLDINGS L.P.,0.0,0001452857,3678,"ANGELO GORDON & CO., L.P.",0.0,0000860662,wholly_owned,D
14342,2057,"Latash Investments, LLC",0.0,0001317961,1003,"Lighthouse Investment Partners, LLC",0.0,0001600344,wholly_owned,D
14343,6611,"Blue Capital, Inc.",0.0,0002032856,1003,"Lighthouse Investment Partners, LLC",0.0,0001600344,wholly_owned,D
14389,5469,Blackstone Inc.,0.0,0001393818,6320,BLACKSTONE ALTERNATIVE CREDIT ADVISORS LP,0.0,0001362495,wholly_owned,D
14390,9583,RCF Management L.L.C.,0.0,0001546773,6320,BLACKSTONE ALTERNATIVE CREDIT ADVISORS LP,0.0,0001362495,wholly_owned,D
14410,4805,FRANKLIN RESOURCES INC,0.0,0000038777,1597,Lexington Partners L.P.,0.0,0001621157,wholly_owned,D
