crd,firm_name,aum_billions,classification,validated_date,status
105885,EQUINOX PARTNERS INVESTMENT MANAGEMENT LLC,0.78,ENTITY_NO_CODE,2026-04-08,confirmed_independent
107227,WHELAN FINANCIAL,0.78,PARSER_GAP,2026-04-08,confirmed_independent
119859,"ADVANCED ASSET MANAGEMENT ADVISORS, INC.",0.74,PARSER_GAP,2026-04-08,confirmed_independent
156660,MOUNTAIN CAPITAL INVESTMENT ADVISORS INC,0.74,PARSER_GAP,2026-04-08,confirmed_independent
305849,BAILLIE GIFFORD INTERNATIONAL LLC,0.72,ENTITY_NO_CODE,2026-04-08,confirmed_independent
108542,"SKBA CAPITAL MANAGEMENT, LLC",0.66,PARSER_GAP,2026-04-08,confirmed_independent
307667,ASCEND INVESTMENT PARTNERS,0.62,PARSER_GAP,2026-04-08,confirmed_independent
109962,"ESSEX INVESTMENT MANAGEMENT COMPANY, LLC",0.61,PARSER_GAP,2026-04-08,confirmed_independent
106984,AMERICA FIRST INVESTMENT ADVISORS LLC,0.59,ENTITY_NO_CODE,2026-04-08,confirmed_independent
106336,"WBI INVESTMENTS, LLC",0.55,ENTITY_NO_CODE,2026-04-08,confirmed_independent
114702,"CORUS FAMILY WEALTH ADVISORS, INC.",0.54,PARSER_GAP,2026-04-08,confirmed_independent
155436,"EMPIRICAL ASSET MANAGEMENT, LLC",0.47,PARSER_GAP,2026-04-08,confirmed_independent
105807,"SEARCY FINANCIAL SERVICES, INC.",0.45,PARSER_GAP,2026-04-08,confirmed_independent
105151,HARBOR ADVISORY CORPORATION,0.44,ENTITY_NO_CODE,2026-04-08,confirmed_independent
110928,"PRENTISS SMITH & COMPANY, INC.",0.44,PARSER_GAP,2026-04-08,confirmed_independent
108652,"ENDOWMENT WEALTH MANAGEMENT, INC.",0.43,PARSER_GAP,2026-04-08,confirmed_independent
128366,"ETF PORTFOLIO PARTNERS, INC.",0.43,PARSER_GAP,2026-04-08,confirmed_independent
105939,IMS CAPITAL MANAGEMENT,0.41,ENTITY_NO_CODE,2026-04-08,confirmed_independent
106615,"SIERRA INVESTMENT MANAGEMENT, LLC",0.39,ENTITY_NO_CODE,2026-04-08,confirmed_independent
129701,"LBJ FAMILY WEALTH ADVISORS, LTD.",0.39,PARSER_GAP,2026-04-08,confirmed_independent
169293,"HENRY JAMES INTERNATIONAL MANAGEMENT, INC.",0.37,PARSER_GAP,2026-04-08,confirmed_independent
104573,"PALOUSE CAPITAL MANAGEMENT, INC.",0.33,PARSER_GAP,2026-04-08,confirmed_independent
106288,MORGAN DEMPSEY CAPITAL MANAGEMENT LLC,0.29,ENTITY_NO_CODE,2026-04-08,confirmed_independent
38751,"LEIGH BALDWIN & CO., LLC",0.29,PARSER_GAP,2026-04-08,confirmed_independent
286648,"DEFINE FINANCIAL, LLC",0.28,PARSER_GAP,2026-04-08,confirmed_independent
144413,GREEN ALPHA INVESTMENTS,0.24,PARSER_GAP,2026-04-08,confirmed_independent
284267,STANCE CAPITAL LLC,0.23,PARSER_GAP,2026-04-08,confirmed_independent
168700,"LITTLE HARBOR ADVISORS, LLC",0.2,PARSER_GAP,2026-04-08,confirmed_independent
106688,"R.H. DINEL INVESTMENT COUNSEL,INC.",0.17,ENTITY_NO_CODE,2026-04-08,confirmed_independent
322902,GEO CAPITAL,0.09,PARSER_GAP,2026-04-08,confirmed_independent
285158,"ZOE FINANCIAL, INC.",0,PARSER_GAP,2026-04-08,confirmed_independent
332305,NORTHCAPE CAPITAL,9.96,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
105690,TOCQUEVILLE ASSET MANAGEMENT LP,9.66,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
106928,BRADLEY FOSTER & SARGENT INC,9.07,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
106114,GARDNER RUSSO & QUINN LLC,9.05,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
104692,"FERGUSON WELLMAN CAPITAL MANAGEMENT, INC.",8.99,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
105179,"D.F. DENT AND COMPANY, INC.",8.6,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
112758,"SIGNATUREFD, LLC",8.33,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
119278,"HAMLIN CAPITAL MANAGEMENT, LLC",8.33,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
2993,H.M. PAYSON,8.13,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
168219,"ORGEL WEALTH MANAGEMENT, LLC",8.06,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
291902,"APOLLON WEALTH MANAGEMENT, LLC",7.72,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
168652,RITHOLTZ WEALTH MANAGEMENT,7.7,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
106234,WEDGE CAPITAL MANAGEMENT LLP,7.65,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
19258,"HARBOUR INVESTMENTS, INC.",7.57,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
105448,R M DAVIS INC,7.27,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
146019,CONFLUENCE INVESTMENT MANAGEMENT LLC,7.25,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
143567,"SMEAD CAPITAL MANAGEMENT, INC.",7.17,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
132330,"SIMON QUICK ADVISORS, LLC",7.07,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
158508,"BATTERY GLOBAL ADVISORS, LLC",6.9,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
111087,"KORNITZER CAPITAL MANAGEMENT, INC.",6.75,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
152622,EMPIRICAL WEALTH MANAGEMENT,6.7,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
147110,"EVENTIDE ASSET MANAGEMENT, LLC",6.43,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
110302,JMG FINANCIAL GROUP LTD,6.37,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
108347,NICHOLAS CO INC,6.08,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
157934,KENSICO CAPITAL MANAGEMENT CORP.,6.03,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
147662,CHICAGO PARTNERS INVESTMENT GROUP LLC,5.96,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
105466,"BECK, MACK & OLIVER LLC",5.91,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
135188,"EVANSON ASSET MANAGEMENT, LLC",5.91,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
109629,KCM INVESTMENT ADVISORS,5.85,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
106746,DISCIPLINED GROWTH INVESTORS INC,5.75,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
110692,SPC,5.66,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
160404,GMT CAPITAL CORP.,5.58,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
168978,ARMISTICE CAPITAL LLC,5.54,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
301152,"ATREIDES MANAGEMENT, LP",5.52,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
173527,HOSKING PARTNERS LLP,5.49,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
161005,ALTAROCK PARTNERS LP,5.41,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
105664,"TRUEPOINT, INC.",5.39,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
109143,"INDEX FUND ADVISORS, INC.",5.33,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
159868,"VIVO CAPITAL, LLC",5.32,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
291699,METROPOLIS CAPITAL LIMITED,5.07,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
170912,CRESCENT GROVE ADVISORS,5.0,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
110489,"BECKER CAPITAL MANAGEMENT, INC.",4.98,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
131660,"AMERICAN ASSETS INVESTMENT MANAGEMENT, LLC",4.9,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
107517,SYM FINANCIAL ADVISORS,4.88,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
226755,"APPLIED FINANCE CAPITAL MANAGEMENT, LLC",4.86,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
125618,"KLINGMAN AND ASSOCIATES, LLC",4.84,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
170824,"QUANTBOT TECHNOLOGIES, LP",4.83,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
105056,STACEY BRAUN ASSOCIATES INC,4.82,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
109528,"MAINSTAY CAPITAL MANAGEMENT, LLC",4.8,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
172685,"CLEAR INVESTMENT RESEARCH, LLC",4.66,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
105153,"BOWEN, HANES & CO INC",4.62,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
106417,GLOBEFLEX CAPITAL LP,4.56,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
157746,COOPER CREEK PARTNERS MANAGEMENT LLC,4.52,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
108033,CLIFFORD SWAN INVESTMENT COUNSELORS,4.48,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
137312,"SENVEST MANAGEMENT, LLC",4.44,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
159894,"MAPLELANE CAPITAL, LLC",4.41,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
300095,SHAOLIN CAPITAL MANAGEMENT LLC,4.36,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
304237,VENTURE VISIONARY PARTNERS LLC,4.36,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
105276,SOUTHEASTERN ASSET MANAGEMENT INC.,4.33,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
298079,AARON WEALTH ADVISORS,4.29,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
104947,"DONALD SMITH & CO., INC.",4.26,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
287792,TAIKO,4.25,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
161566,MILLSTREET CAPITAL MANAGEMENT LLC,4.13,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
164666,"CORNERSTONE WEALTH MANAGEMENT, LLC",4.08,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
140522,"TWIN FOCUS CAPITAL PARTNERS, LLC",4.05,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
126992,YALE CAPITAL CORP.,4.04,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
110929,CG ADVISORY SERVICES,4.02,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
124729,"CARDINAL CAPITAL MANAGEMENT, INC.",4.02,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
291194,"TEAM HEWINS, LLC",3.97,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
111042,WILLIS INVESTMENT COUNSEL INC,3.95,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
105471,OBERWEIS ASSET MANAGEMENT INC,3.94,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
167121,"ECOR1 CAPITAL, LLC",3.91,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
107930,ARGENT CAPITAL MANAGEMENT LLC,3.9,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
128450,"CHANNING CAPITAL MANAGEMENT, LLC",3.9,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
111295,"SAND HILL GLOBAL ADVISORS, LLC",3.88,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
136713,"CYRUS CAPITAL PARTNERS, L.P.",3.87,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
105899,TIMUCUAN ASSET MANAGEMENT INC,3.86,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
110397,ZWJ INVESTMENT COUNSEL INC,3.86,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
288863,ARKADIOS WEALTH ADVISORS,3.86,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
104855,SALEM INVESTMENT COUNSELORS INC,3.84,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
111273,"THE WELCH GROUP, LLC",3.68,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
104693,SCHWARTZ INVESTMENT COUNSEL INC,3.65,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
105098,BARKSDALE INVESTMENT MANAGEMENT,3.63,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
116574,SAGE FINANCIAL GROUP INC.,3.62,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
163427,SPRUCE HOUSE INVESTMENT MANAGEMENT LLC,3.55,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
108147,DEARBORN PARTNERS L.L.C.,3.53,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
166102,"ELECTRON CAPITAL PARTNERS, LLC",3.53,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
158282,"ADVISORY ALPHA, LLC",3.47,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
594,"MOORS & CABOT, INC",3.44,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
155733,"FLAGSHIP HARBOR ADVISORS, LLC",3.42,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
104545,HENSSLER FINANCIAL,3.4,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
109392,TANDEM INVESTMENT ADVISORS INC,3.36,INDIVIDUAL_ONLY_MIDSIZE,2026-04-08,confirmed_independent
