parent_eid,parent_name,orphan_eid,orphan_name,score,action
17941,"GOLDMAN SACHS ASSET MANAGEMENT, L.P.",22,GOLDMAN SACHS ASSET MANAGEMENT,90.9,WIRE
18157,SEGALL BRYANT AND HAMILL LLC,254,"SEGALL BRYANT & HAMILL, LLC",90.9,WIRE
18869,LINCOLN FINANCIAL INVESTMENTS CORPORATION,863,LINCOLN FINANCIAL INVESTMENTS CORP,90.7,WIRE
19921,CARRET ASSET MANAGEMENT,8493,"CARRET ASSET MANAGEMENT, LLC",90.2,WIRE
2402,SHERBORNE INVESTORS MANAGEMENT LP,6711,"SHERBORNE INVESTORS MANAGEMENT GP, LLC",90.1,WIRE
18574,WILMINGTON FUNDS MANAGEMENT CORPORATION,2668,WILMINGTON FUNDS MANAGEMENT CORP,90.1,WIRE
23,MORGAN STANLEY INVESTMENT MANAGEMENT,18034,MORGAN STANLEY INVESTMENT MANAGEMENT COMPANY,90.0,WIRE
23,MORGAN STANLEY INVESTMENT MANAGEMENT,18227,MORGAN STANLEY INVESTMENT MANAGEMENT LIMITED,90.0,WIRE
4805,FRANKLIN RESOURCES INC,28,FRANKLIN RESOURCES,90.0,WIRE
2562,"EQUITABLE INVESTMENT MANAGEMENT, LLC",9668,"EQUITABLE INVESTMENT MANAGEMENT GROUP, LLC",89.7,WIRE
9668,"EQUITABLE INVESTMENT MANAGEMENT GROUP, LLC",2562,"EQUITABLE INVESTMENT MANAGEMENT, LLC",89.7,WIRE
6690,HARRIS ASSOCIATES L P,64,HARRIS ASSOCIATES,89.5,WIRE
6699,"PARNASSUS INVESTMENTS, LLC",62,PARNASSUS INVESTMENTS,89.4,WIRE
18210,MORGAN STANLEY INVESTMENT MANAGEMENT INC.,18034,MORGAN STANLEY INVESTMENT MANAGEMENT COMPANY,89.4,WIRE
8968,"AFFILIATED MANAGERS GROUP, INC.",27,AFFILIATED MANAGERS GROUP,89.3,WIRE
8,FIRST TRUST ADVISORS,19601,FIRST TRUST ADVISORS L.P.,88.9,WIRE
6915,"GALAXY DIGITAL, LP",9718,GALAXY DIGITAL LLC,88.9,WIRE
19601,FIRST TRUST ADVISORS L.P.,8,FIRST TRUST ADVISORS,88.9,WIRE
4676,"SUMMIT WEALTH GROUP, LLC",8806,SUMMIT WEALTH GROUP LLC / CO,88.5,WIRE
18274,"SOUND SHORE MANAGEMENT, INC. ",7700,SOUND SHORE MANAGEMENT INC /CT/,88.1,WIRE
18349,PROVIDENT TRUST COMPANY,1546,PROVIDENT TRUST CO,87.8,WIRE
9935,WELLINGTON MANAGEMENT CO LLP,18661,WELLINGTON MANAGEMENT COMPANY,87.7,WIRE
4375,VANGUARD GROUP INC,1,VANGUARD GROUP,87.5,WIRE
6987,BROWN ADVISORY LLC,60,BROWN ADVISORY,87.5,WIRE
18714,BOSTON TRUST WALDEN INC.,4079,BOSTON TRUST WALDEN CORP,87.5,WIRE
70,ARIEL INVESTMENTS,18357,"ARIEL INVESTMENTS, LLC",87.2,WIRE
6991,"TETON ADVISORS, INC.",1158,"TETON ADVISORS, LLC",87.2,WIRE
