crd,firm_name,entity_id,entity_type,aum_billions,total_parsed_rows,individuals_found,entities_no_code,entities_with_code,classification,action,reason,best_match_name,best_match_score,best_match_target
108601,BRIGHTON JONES LLC,5165,institution,14.99,12,12,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $15.0B — likely has corporate parent",,,
109149,"FIDUCIARY MANAGEMENT, INC.",1638,institution,14.98,7,7,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $15.0B — likely has corporate parent",,,
163706,BOOTHBAY FUND MANAGEMENT,3687,institution,14.51,5,5,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $14.5B — likely has corporate parent",,,
163776,"PDT PARTNERS, LLC",10664,institution,14.02,3,2,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
312511,"YOUSIF CAPITAL MANAGEMENT, LLC",4349,institution,13.98,4,4,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $14.0B — likely has corporate parent",,,
288169,"ATLANTA CONSULTING GROUP ADVISORS, LLC",3034,institution,13.59,8,8,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $13.6B — likely has corporate parent",,,
110049,"APPLETON PARTNERS, INC.",4312,institution,13.45,3,3,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $13.5B — likely has corporate parent",,,
126246,"IRA GROUP, INC.",3695,institution,13.2,2,2,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $13.2B — likely has corporate parent",,,
107153,"LORING, WOLCOTT & COOLIDGE FIDUCIARY ADVISORS, LLP",8494,institution,12.91,12,12,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $12.9B — likely has corporate parent",,,
108805,COLDSTREAM WEALTH MANAGEMENT,2976,institution,12.44,17,13,0,4,PARSER_GAP,REVIEW,4 entities with codes but no relationship type,,,
107689,ROYCE INVESTMENT PARTNERS,949,institution,12.41,16,12,4,0,ENTITY_NO_CODE,REVIEW,4 entities missing ownership code,,,
125780,CAPITAL FUND MANAGEMENT S.A.,6291,institution,12.27,7,6,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
107296,DUFF & PHELPS INVESTMENT MANAGEMENT CO.,7615,institution,12.23,10,9,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
149335,"GOTHAM ASSET MANAGEMENT, LLC",7825,institution,12.13,7,6,1,0,ENTITY_NO_CODE,REVIEW,1 entities missing ownership code,,,
125012,WESTWOOD GLOBAL INVESTMENTS,9116,institution,11.82,5,5,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $11.8B — likely has corporate parent",,,
140746,WHALE ROCK CAPITAL MANAGEMENT,4393,institution,11.67,7,6,0,1,PARSER_GAP,REVIEW,1 entities with codes but no relationship type,,,
104729,GREENHAVEN ASSOCIATES INC,8450,institution,11.66,7,7,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $11.7B — likely has corporate parent",,,
2002,GILDER GAGNON HOWE & CO. LLC,1673,institution,11.6,8,8,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $11.6B — likely has corporate parent",,,
140891,GUINNESS GLOBAL INVESTORS,3607,institution,11.43,12,12,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $11.4B — likely has corporate parent",,,
150764,"CAPITAL WEALTH PLANNING, LLC",907,institution,11.42,3,3,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $11.4B — likely has corporate parent",,,
110601,MEKETA INVESTMENT GROUP INC,5025,institution,11.41,11,11,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $11.4B — likely has corporate parent",,,
113859,"COOKE & BIELER, L.P.",311,institution,11.37,4,4,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $11.4B — likely has corporate parent",,,
105281,JENSEN INVESTMENT MANAGEMENT INC.,257,institution,11.24,5,5,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $11.2B — likely has corporate parent",,,
289310,H.A.M.L,6994,institution,11.14,5,5,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $11.1B — likely has corporate parent",,,
168741,IMPRESA MANAGEMENT LLC,3076,institution,10.98,16,10,0,6,PARSER_GAP,REVIEW,6 entities with codes but no relationship type,,,
106830,EVERETT HARRIS & CO,8550,institution,10.9,4,4,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $10.9B — likely has corporate parent",,,
127132,"VALEO FINANCIAL ADVISORS, LLC",8662,institution,10.64,5,5,0,0,INDIVIDUAL_ONLY_LARGE,REVIEW,"Only individuals, AUM $10.6B — likely has corporate parent",,,
286283,JAMES HAMBRO & PARTNERS LLP,7624,institution,10.56,10,7,0,3,PARSER_GAP,REVIEW,3 entities with codes but no relationship type,,,
