filer_cik,filer_name,filing_count,targets,latest_filing,earliest_filing,last_form_type,auto_classification,manual_classification,existing_entity_id,action,notes
1614835,"ADVANCED DRAINAGE SYSTEMS, INC. EMPLOYEE STOCK OWNERSHIP PLAN",1,1,2022-02-14,2022-02-14,SC 13G/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1628280,Chi Fung Cheng,1,1,2024-11-12,2024-11-12,SC 13G/A,INSTITUTION,EXCLUDE,,,multi-filer CIK data quality issue — skip
1856079,Oxford Science Enterprises plc,1,1,2024-04-09,2024-04-09,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
1898019,AXIOS Sustainable Growth Acquisition Corp,1,1,2023-02-14,2023-02-14,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1978528,"Quetta Acquisition Corp  (QETA, QETAR, QETAU)",1,1,2024-11-14,2024-11-14,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1085423,BAINUM ROBERTA,1,1,2024-05-22,2024-05-22,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1592634,Challen Michael,1,1,2022-02-08,2022-02-08,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1103982,"Mondelez International, Inc.",1,1,2023-03-02,2023-03-02,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1227104,APPEL PETER A,1,1,2022-02-14,2022-02-14,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
905558,TRIGRAN INVESTMENTS LP,1,1,2022-02-10,2022-02-10,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
917225,SOLITARIO RESOURCES CORP.,1,1,2023-08-09,2023-08-09,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1122411,"ASE Technology Holding Co., Ltd.",1,1,2024-05-08,2024-05-08,SC 13D,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1157523,IDENTIFICATION OF ABOVE PERSON Rick Van Nieuwenhuyse,1,1,2023-03-31,2023-03-31,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1626673,Parmer George,1,1,2023-03-03,2023-03-03,SC 13D,INSTITUTION,INDIVIDUAL,,,
1628280,Amber Mason,1,1,2024-02-15,2024-02-15,SC 13G,INSTITUTION,EXCLUDE,,,multi-filer CIK data quality issue — skip
1794528,Kensington Investments B.V.,1,1,2023-11-13,2023-11-13,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
1008463,TAN LIP BU,1,1,2023-02-14,2023-02-14,SC 13G,INSTITUTION,INDIVIDUAL,,,
1678102,Yun Chen Capital Cayman,1,1,2023-04-21,2023-04-21,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
1887784,Hayden Noel,1,1,2022-08-15,2022-08-15,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
