investor_name,ciks,positions,aum_mm,total_shares
De Lisle Partners LLP,1,152,777.8,27403074
"Strategic Planning Group, LLC",1,71,776.9,5572030
Alibaba Group Holding Ltd,1,2,772.1,42537232
"Cullen Investment Group, Ltd.",1,172,771.4,5300420
"Oarsman Capital, Inc.",1,232,770.7,9998242
Tri Locum Partners LP,1,15,770.1,6395151
Concord Wealth Partners,1,792,769.7,11320063
"Brio Consultants, LLC",1,140,769.5,13168995
Qtron Investments LLC,1,408,769.3,8016058
Financial Enhancement Group LLC,1,123,768.7,11143516
Summit Securities Group LLC,1,833,767.7,14427020
Permanens Capital L.P.,1,76,766.8,10945913
"May Hill Capital, LLC",1,326,764.7,6754007
"CRA Financial Services, LLC",1,262,764.2,9626976
"Garnet Equity Capital Holdings, Inc.",1,20,763.8,12670958
Fcpm III Services B.V.,1,9,762.9,43804192
"Cim, LLC",1,163,762.7,6974529
Atmos Capital Gestao de Recursos Ltda.,1,12,760.5,30299769
"Greenfield FTC, Inc.",1,3,760.4,2085257
Wahed Invest LLC,1,206,759.0,4259213
"Crawford Fund Management, LLC",1,180,759.0,26163084
Opaleye Management Inc.,1,48,758.0,55571565
O'Brien Wealth Partners LLC,1,109,756.2,12528342
Power Corp of Canada,1,1,753.9,31557117
Massachusetts Institute of Technology,1,7,753.3,22745588
K.J. Harrison & Partners Inc,1,211,752.2,8882647
"Abacus Planning Group, Inc.",1,254,751.3,9261850
"Hoey Investments, Inc",1,386,751.1,3711401
Kora Management LP,1,7,750.7,12695874
Golden Unicorn (BVI) Ltd,1,4,747.8,3438305
Foundation Resource Management Inc,1,46,747.5,21692933
"Blue Edge Capital, LLC",1,119,747.4,6405531
George Kaiser Family Foundation,1,65,747.2,15469367
"Patton Fund Management, Inc.",1,459,746.0,7311457
Monarch Alternative Capital LP,1,4,744.9,153291798
"Symphony Financial, Ltd. Co.",1,278,744.5,7565078
Renaissancere Holdings Ltd,1,5,744.2,11423302
"Portside Wealth Group, LLC",1,435,743.7,7736711
Decheng Capital LLC,1,16,743.4,56572785
"Third View Private Wealth, LLC",1,265,742.9,5475312
Manchester Global Management (UK) Ltd,1,20,742.2,3997251
"Capital Advantage, Inc.",1,145,741.3,11211399
Jlb & Associates Inc,1,70,741.3,4596968
Lee Financial Co,1,141,741.2,8702445
Glassman Wealth Services,1,176,741.0,11750470
Sava Infond d.o.o.,1,216,740.6,5627761
"Technology Crossover Management XI, Ltd.",1,2,740.2,3338036
"Rice Partnership, LLC",1,173,739.6,5870065
"Skylands Capital, LLC",1,142,737.1,16535444
"Keating Financial Advisory Services, Inc.",1,2019,737.0,10710518
"Pasadena Private Wealth, LLC",1,213,735.5,12330250
"Northstar Group, Inc.",1,160,734.2,5589722
Live Oak Private Wealth LLC,1,179,734.2,8946640
Berman McAleer LLC,1,158,731.9,11565538
"Financial Consulate, Inc",1,1243,731.4,25946240
"Insight Wealth Partners, LLC",1,103,729.7,4449891
Culbertson A N & Co Inc,1,127,728.9,4054727
GCQ FUNDS MANAGEMENT PTY Ltd,1,9,726.3,3240908
"James J. Burns & Company, LLC",1,158,724.7,8262970
Intel Corp,1,1,724.2,65316315
"Ellevest, Inc.",1,406,723.2,9606457
Sciencast Management LP,1,268,723.2,9776938
"Koch, Inc.",1,7,722.7,169171567
"Cypress Wealth Services, LLC",1,341,722.7,8561559
Mivtachim The Workers Social Insurance Fund Ltd. (Under Special Management),1,35,721.5,7624524
"Marble Wealth, LLC",1,267,720.0,6253618
"Capital Investment Counsel, LLC",1,135,719.9,11000344
Oak Thistle LLC,1,468,719.9,12005561
"Cannon Financial Strategists, Inc.",1,95,719.3,11402188
Palo Alto Investors LP,1,45,718.4,42595344
"Evergreen Wealth Solutions, LLC",1,204,716.8,15515412
Fractal Investments LLC,1,78,716.2,21153439
"Ironwood Investment Counsel, LLC",1,256,716.1,6598025
Artal Group S.A.,1,2,714.6,145688471
"Arvest Investments, Inc.",1,210,711.7,10152160
Burton Enright Welch,1,123,710.5,13253545
"Asio Capital, LLC",1,108,708.8,5770690
Human Investing LLC,1,94,708.1,6206120
Artia Global Partners LP,1,45,705.8,14998900
"GCM Grosvenor Holdings, LLC",1,18,704.8,15989053
"CFO4Life Group, LLC",1,234,701.5,7456240
Mitchell Mcleod Pugh & Williams Inc,1,282,700.4,4553982
"Kelman-Lazarov, Inc.",1,125,700.3,12761043
Torray Investment Partners LLC,1,90,698.4,6795117
Counterpoint Mutual Funds LLC,1,264,698.0,24696460
Buffalo Business & Estate Services Ltd,1,101,696.0,4789949
"Integrity Advisory Solutions, LLC",1,235,694.3,13947135
"JBF Capital, Inc.",1,70,692.8,4553491
"Leelyn Smith, LLC",1,143,691.6,7667956
"EagleClaw Capital Managment, LLC",1,140,691.2,6020223
Noesis Capital Mangement Corp,1,129,689.6,4886303
KPP Advisory Services LLC,1,319,688.6,7476132
Financial Advisory Corp,1,49,687.6,9218633
Toews Corp /adv,1,15,687.5,10659891
"Convergence Financial, LLC",1,181,685.3,9767713
"Rule One Partners, LLC",1,8,684.8,1688206
Amanah Holdings Trust,1,20,682.7,2744102
Perryman Financial Advisory Inc /AD/,1,163,681.5,4985863
"Calton & Associates, Inc.",1,407,680.9,10101457
Arrowpoint Investment Partners (Singapore) Pte. Ltd.,1,102,678.7,7677196
"Hudock, Inc.",1,186,678.7,7345487
Acorn Financial Advisory Services Inc /adv,1,205,677.6,10146524
Hudson Edge Investment Partners Inc.,1,87,674.9,10806727
Providence Equity Partners L.L.C.,1,3,671.2,48379947
"WealthPLAN Partners, LLC",1,244,669.4,7901216
"TFO Wealth Partners, LLC",1,49,668.2,11491672
"Harbor Group, Inc.",1,112,668.2,13984944
Triasima Portfolio Management inc.,1,135,667.7,11177268
Foresight Group Ltd Liability Partnership,1,56,664.4,6979055
"Matauro, LLC",1,140,664.2,11392801
Kemnay Advisory Services Inc.,1,830,663.1,10676038
"Adams Natural Resources Fund, Inc.",1,52,659.4,7930608
"Laffer Tengler Investments, Inc.",1,174,658.0,4049338
"Heritage Investment Group, Inc.",1,126,657.0,10520394
Oliver Luxxe Assets LLC,1,182,656.9,7577663
"FTV Management Company, L.P.",1,2,655.3,22497373
"TSG Advice Partners, LLC",1,113,655.1,2748449
General Electric Co,1,1,655.1,28362874
Globeflex Capital L P,1,359,653.3,23463650
SFE Investment Counsel,1,135,652.9,8187858
"ARCH Venture Management, LLC",1,9,651.7,48234149
"Dumac, Inc.",1,9,651.0,9248511
"HORAN Wealth, LLC",1,173,650.9,6159967
"Fox Run Management, L.L.C.",1,819,647.9,16806892
Summit Wealth Group LLC / Co,1,237,646.0,13087824
"Blue Fin Capital, Inc.",1,150,644.9,3954823
"Newbridge Financial Services Group, Inc.",1,1087,644.0,6667688
"Burling Wealth Partners, LLC",1,181,643.6,3494606
Versor Investments LP,1,572,641.8,18901130
Cornerstone Planning Group LLC,1,1584,641.3,9503188
Eclectic Associates Inc /adv,1,141,641.1,11141265
Nalanda India Equity Fund Ltd,1,0,641.0,13702500
"Bearing Point Capital, LLC",1,177,639.7,5101203
"Optas, LLC",1,447,639.3,5228017
Quarry LP,1,1831,639.2,52375906
WPWealth LLP,1,75,638.9,14828228
Drexel Morgan & Co.,1,57,638.9,12887512
"Pettyjohn, Wood & White, Inc",1,212,638.1,4337162
Shannon River Fund Management LLC,1,25,637.5,11696938
"Security Financial Services, INC.",1,198,636.9,9556445
"Hughes Financial Services, LLC",1,1212,636.7,9619346
"American Money Management, LLC",1,157,636.3,5529091
Financial Management Network Inc,1,170,632.0,8582077
VR Advisory Services Ltd,1,20,631.8,38204633
Affinity Partners GP LP,1,1,630.5,32686065
"Personal CFO Solutions, LLC",1,488,629.8,5813023
Tyche Wealth Partners LLC,1,307,629.8,7293202
"Pandi, LLC",1,2,629.7,1898238
"RH Tailwind Management, LLC",1,23,629.2,2904540
Vega Investment Solutions,1,181,629.2,3907814
Rbo & Co LLC,1,49,628.4,6399526
Siemens Pension Trust E V,1,1,628.2,31761131
"Pier Capital, LLC",1,120,626.4,15343661
"Kimmeridge Energy Management Company, LLC",1,4,626.3,20170157
Al Mehwar Commercial Investments LLC,1,1,623.9,12822581
Fourth Sail Capital LP,1,26,623.4,41829414
"St. James Investment Company, LLC",1,29,623.1,6118098
Battery Management Corp.,1,4,622.8,22739481
"Affiance Financial, LLC",1,101,621.8,5261666
Murchinson Ltd.,1,49,621.5,34592487
"Rather & Kittrell, Inc.",1,105,621.1,14214889
Golden State Equity Partners,1,454,619.8,7393297
Solel Partners LP,1,19,618.2,22271088
Taproot Management LP,1,142,617.3,7486712
"Cornerstone Management, Inc.",1,63,613.2,6619693
"Arthur M. Cohen & Associates, LLC",1,127,612.5,2495077
TB Alternative Assets Ltd.,1,46,610.8,11330966
Strategy Asset Managers LLC,1,248,608.3,4059755
"Magnolia Group, LLC",1,10,606.5,20975463
"Portfolio Design Labs, LLC",1,201,606.5,4314869
Sky Investment Group LLC,1,136,605.4,3832374
Cypress Funds LLC,1,13,604.7,1824958
Balboa Wealth Partners,1,398,604.6,6648064
Camrose Capital Investment Partners LLP,1,10,603.8,3648629
"Conifer Management, L.L.C.",1,5,603.6,12514973
Mcmorgan & Co LLC,1,45,603.5,10428616
"Bwcp, LP",1,27,602.9,14180265
"Beck Bode, LLC",1,91,601.2,9579031
MA Private Wealth,1,82,599.4,7479242
Ritter Daniher Financial Advisory LLC / DE,1,532,596.2,7810626
RPTC Inc.,1,6,595.7,5149985
"Clayton, Dubilier & Rice, LLC",1,1,595.0,114976142
Adventist Health System/ West,1,8,595.0,3835727
CVC Management Holdings II Ltd.,1,2,594.7,169913073
"Bricktown Capital, LLC",1,25,594.0,5622704
Calydon Capital,1,186,592.9,6437116
D L Carlson Investment Group Inc,1,132,592.8,7337539
Abundance Wealth Counselors,1,153,592.3,10997147
Longbow Finance SA,1,62,590.6,3215119
Partners in Financial Planning,1,114,590.6,6513123
Somerville Kurt F,1,96,589.7,3730806
"Retirement Income Solutions, Inc",1,159,589.6,6241270
"Ironwood Financial, llc",1,160,589.6,9203631
"MIG Capital, LLC",1,43,589.4,5775994
"Almanack Investment Partners, LLC.",1,156,588.5,12646061
"GenWealth Group, Inc.",1,78,586.5,6888340
Maia Wealth LLC,1,301,585.9,9616881
Vanderbilt University,1,66,585.7,5661535
Banco BTG Pactual S.A.,1,140,585.1,9764211
Generali Powszechne Towarzystwo Emerytalne,1,30,584.6,4353025
"Wealth Alliance Advisory Group, LLC",1,183,584.0,8250487
Stempoint Capital LP,1,68,583.2,31800780
Martin & Co Inc /TN/,1,98,582.7,7852690
Ranmore Fund Management Ltd,1,17,582.7,20086007
"Tiff Advisory Services, LLC",1,21,581.0,8200684
Verbena Value LP,1,22,580.9,18850246
NINE MASTS CAPITAL Ltd,1,94,580.7,10857860
Diadema Partners LP,1,108,580.5,24324649
"SMI Advisory Services, LLC",1,51,580.3,14563515
Overbrook Management Corp,1,45,579.3,2468363
"Richmond Investment Services, LLC",1,224,578.5,7479300
OAKMONT Corp,1,31,578.1,1837646
"Aspen Grove Capital, LLC",1,199,576.7,5211648
"XY Planning Network, Inc.",1,232,573.8,9503943
"Ellis Investment Partners, LLC",1,236,573.5,7718769
Freemont Management S.A.,1,107,572.9,4297848
Bregal Sagemount IV General Partner Jersey Ltd,1,1,569.5,19530472
"Drucker Wealth 3.0, LLC",1,253,568.9,5592713
Advisory Resource Group,1,154,568.6,10145236
Bleichroeder LP,1,65,568.3,53510519
Laura & John Arnold Foundation,1,4,568.1,6454549
ORG Partners LLC,1,1404,568.0,24462412
"Brady Martz Wealth Solutions, LLC",1,168,567.9,10671754
PBCay One RSC Ltd,1,10,567.2,3049006
Spear Holdings RSC Ltd,1,10,567.2,3048993
Walter Public Investments Inc.,1,46,565.5,3278502
Aristides Capital LLC,1,205,565.4,19503160
Endurance Services Ltd,1,5,565.0,4139288
"Legacy Financial Strategies, LLC",1,135,564.8,9434410
Kahn Brothers Group Inc,1,40,564.7,23508956
Essex LLC,1,171,564.6,9220841
"Matthew Goff Investment Advisor, LLC",1,84,564.2,6220903
KKM Financial LLC,1,153,563.3,5709670
"Tempo Wealth, LLC",1,206,561.3,3859638
Strong Tower Advisory Services,1,97,558.5,5382585
Standard General L.P.,1,2,558.1,67916169
Baker Chad R,1,56,557.4,3263812
Robotti Robert,1,53,556.8,20229177
"SkyOak Wealth, LLC",1,239,556.0,6610389
Act Two Investors LLC,1,38,555.9,3598849
"Ramsay, Stattman, Vela & Price, Inc.",1,65,555.2,2820227
Panoramic Hills Capital Ltd,1,3,555.0,1710222
IDG-Accel China Capital II Associates L.P.,1,1,554.8,6996111
Johnson & Johnson,1,15,554.6,33876568
"Harfst & Associates, Inc.",1,109,554.6,3650628
"RAM Investment Partners, LLC",1,117,553.0,10838024
"Financial Strategies Group, Inc.",1,94,552.4,9189975
Lincoln Capital LLC,1,130,551.8,3513740
"Spinnaker Investment Group, LLC",1,163,551.4,10741433
Truvestments Capital LLC,1,960,550.3,8234159
CDAM (UK) Ltd,1,11,549.9,10649230
"Madison Wealth Partners, Inc",1,206,548.1,6582611
"Greenstone Partners & Co., LLC",1,11,546.9,6143253
"J. H. Whitney Equity Partners VI, LLC",1,1,546.5,20256615
TLWM,1,67,546.3,9918772
"Harraden Circle Investments, LLC",1,38,545.6,188511340
"Gibson Capital, LLC",1,79,545.2,3956893
"Community Financial Services Group, LLC",1,97,544.6,3179033
Privium Fund Management B.V.,1,52,543.1,14260816
Golden Reserve Retirement LLC,1,117,541.6,9522669
"Summit Wealth Partners, LLC",1,190,541.2,6324667
"Patten Group, Inc.",1,280,540.7,5443077
Asset Allocation Strategies LLC,1,149,540.4,11176045
CacheTech Inc.,1,210,539.7,10498190
"Discipline Wealth Solutions, LLC",1,156,539.5,8973366
Independent Investors Inc,1,68,538.1,2461811
"Edenbrook Capital, LLC",1,13,536.3,29625409
Moody Aldrich Partners LLC,1,178,535.8,11028857
Squadra Investments - Gestao de Recursos Ltda.,1,3,534.8,24587629
Manchester Financial Inc,1,124,534.8,14217269
Call To Action Foundation,1,1,534.7,852551
Legacy Trust,1,188,534.7,2990905
Wealth High Governance Capital Ltda,1,43,534.5,7509215
Orland Properties Ltd,1,9,534.4,17590977
"ERn Financial, LLC",1,139,531.9,8711782
Unio Capital LLC,1,24,531.5,1396715
Mason & Associates Inc,1,138,531.3,7550725
ShawSpring Partners LLC,1,11,531.1,15341601
"Harvest Investment Services, LLC",1,275,530.0,10229655
"Founders Financial Alliance, LLC",1,538,529.8,6993750
Sage Rhino Capital LLC,1,297,529.7,6730579
"Lodge Hill Capital, LLC",1,21,529.3,9993204
Broderick Brian C,1,75,529.0,5372545
Lynch & Associates /IN/,1,118,528.9,4977713
Goodman Financial Corp,1,71,528.0,8853545
Virtus Wealth Solutions LLC,1,45,526.8,5601847
"Ashton Thomas Securities, LLC",1,279,526.7,7305528
"Curran Financial Partners, LLC",1,120,526.5,9419383
Conversant Capital LLC,1,12,526.5,24389183
Waterfront Wealth Inc.,1,260,526.3,14241099
"Hamilton Wealth, LLC",1,106,525.7,6319550
"Systelligence, LLC",1,45,525.3,6862654
Okabena Investment Services Inc,1,143,524.3,4628005
Machina Capital S.A.S.,1,328,523.9,6099758
"TrueMark Investments, LLC",1,174,523.5,13536439
"M. Kulyk & Associates, LLC",1,105,523.3,4245335
"Dividend Assets Capital, LLC",1,135,523.3,4678902
Jmac Enterprises LLC,1,121,523.2,4664528
Kirr Marbach & Co LLC /IN/,1,56,523.2,8549156
KCM Capital Inc,1,24,523.1,8907947
Curbstone Financial Management Corp,1,139,522.7,27099566
Kapitalo Investimentos Ltda,1,33,522.5,13368987
GoalVest Advisory LLC,1,482,522.1,4451027
Seeds Investor LLC,1,252,521.7,6483177
"ESL Trust Services, LLC",1,247,521.0,6464620
"Alvarez & Marsal Private Wealth Partners, LLC",1,111,520.5,3660777
"Great Diamond Partners, LLC",1,219,519.7,4830355
Hazelview Securities Inc.,1,42,519.5,8123444
"Canton Hathaway, LLC",1,262,518.6,3941094
Wexford Capital LP,1,333,518.4,52065735
"Bedell Frazier Investment Counselling, LLC",1,132,518.3,4904598
"Kozak & Associates, Inc.",1,413,517.6,3147421
"Northwest Bancshares, Inc.",1,171,517.5,7678666
Sphera Funds Management Ltd.,1,89,517.3,33829530
"Financial Security Advisor, Inc.",1,148,516.7,7678237
Schoolcraft Capital LLC,1,64,514.7,7215065
Rockport Wealth LLC,1,90,514.1,10401780
Napean Trading & Investment Co (Singapore) PTE Ltd,1,37,514.1,8613527
New Hampshire Trust,1,167,513.9,4779870
Accel XI Associates L.L.C.,1,1,513.8,6479748
"Balefire, LLC",1,369,513.3,7254155
"Hobart Private Capital, LLC",1,121,512.5,7732783
"Francis Financial, Inc.",1,102,512.1,5851063
"High Note Wealth, LLC",1,873,510.7,5335380
Kranot Hishtalmut Le Morim Tichoniim Havera Menahelet LTD,1,55,509.4,6886640
"Trigran Investments, Inc.",1,17,507.6,27575069
Havemeyer Place LP,1,493,507.3,10952591
"Enavate Sciences Gp, LLC",1,7,506.8,27076396
Southland Equity Partners LLC,1,225,506.7,8414212
Spectrum Financial Alliance Ltd LLC,1,26,506.0,3403078
"Montis Financial, LLC",1,152,505.9,7571686
"Single Point Partners, LLC",1,86,505.8,4068547
Banc Funds Co LLC,1,54,505.2,22244691
"Wealth Dimensions Group, Ltd.",1,167,504.0,7176004
Marietta Investment Partners LLC,1,156,503.7,4270840
"Marino Management, LLC",1,10,503.6,2002649
"Convergence Investment Partners, LLC",1,234,502.9,6178113
"Headinvest, LLC",1,206,502.8,4293716
NWF Advisory Services Inc.,1,237,502.4,10965801
"Drake & Associates, LLC",1,100,502.1,10973292
Louisbourg Investments Inc.,1,208,501.9,8441730
"Generali Investments, Management Co LLC",1,164,501.9,2662211
Rs Crum Inc.,1,95,500.5,8666724
Yelin Lapidot Holdings Management Ltd.,1,79,499.1,13442525
Fulcrum Capital LLC,1,97,498.0,2690898
Renaissance Investment Group LLC,1,78,496.4,2474034
Board of Trustees of The Leland Stanford Junior University,1,21,496.2,8227592
Verum Partners LLC,1,163,496.0,7379231
Riggs Asset Managment Co. Inc.,1,123,495.8,5719800
"Family Investment Center, Inc.",1,94,495.2,8095085
General Pension Society PZU Joint Stock Co,1,14,494.7,5603163
Gwn Securities Inc.,1,383,494.2,7421974
"WESCAP Management Group, Inc.",1,94,493.4,7892806
Apeiron RIA LLC,1,195,492.9,6637724
"Vantage Financial Partners, LLC",1,180,492.6,7718487
Palidye Holdings (Caymans) Ltd,1,12,491.2,1699101
Gagnon Securities LLC,1,82,491.1,25611123
"Solidarity Wealth, LLC",1,76,488.8,2948742
"Integrated Investment Consultants, LLC",1,257,488.7,5709198
"Second Line Capital, LLC",1,161,486.6,10073384
"Moment Partners, LLC",1,103,486.0,2401112
"Prosight Management, LP",1,38,483.9,35531506
"Mycio Wealth Partners, LLC",1,48,483.0,2388098
Rosenberg Matthew Hamilton,1,781,482.8,7238739
"JSF Financial, LLC",1,131,482.4,4834586
Lightrock Netherlands B.V.,1,39,482.3,14384105
"West Wealth Group, LLC",1,126,482.0,6262574
Bender Robert & Associates,1,39,481.3,1742619
Headwater Capital Co Ltd,1,16,480.9,3929400
Park Place Capital Corp,1,756,480.4,7829448
LCC Family Corp.,1,1,480.0,3639067
"Newman Dignan & Sheerar, Inc.",1,183,479.9,8709843
Dash Acquisitions Inc.,1,66,479.8,2058121
"Whitaker-Myers Wealth Managers, LTD.",1,102,479.3,6885976
Stonebrook Private Inc.,1,204,477.7,6287359
"Curtis Advisory Group, LLC",1,111,476.7,5649210
Crumly & Associates Inc.,1,189,476.7,7660081
"Hedeker Wealth, LLC",1,77,476.5,4927637
"CoreCommodity Management, LLC",1,113,476.5,17362713
Cliffwater LLC,1,21,476.4,10253388
FIFTHDELTA Ltd,1,10,475.9,24611138
"Keystone Wealth Services, LLC",1,219,474.6,5826254
Lantz Financial LLC,1,219,473.9,7163381
"Peavine Capital, LLC",1,9,473.2,3034489
"PCM Encore, LLC",1,411,470.0,4961961
Continental General Insurance Co,1,5,469.9,20118643
Wendel SE,1,0,469.8,62975396
Platform Technology Partners,1,244,469.6,5775309
"Holistic Planning, LLC",1,230,469.1,7408037
"HS Management Partners, LLC",1,24,468.5,4587226
Joho Capital LLC,1,9,468.5,3242884
"Madrona Financial Services, LLC",1,109,468.0,5017786
Coyle Financial Counsel LLC,1,113,467.9,5124115
"Brooklyn FI, LLC",1,79,467.3,6048391
Patient Square Capital LP,1,26,467.1,20343368
"Legacy Capital Wealth Partners, LLC",1,347,465.9,6832355
"ER Collective Holdings, LLC",1,1,464.6,8518300
"Alpine Global Management, LLC",1,254,463.9,34674648
"Hourglass Capital, LLC",1,111,463.7,7576627
Naspers Ltd,1,3,463.3,39678095
Builder Investment Group Inc /adv,1,100,463.0,5381646
"Clune & Associates, Ltd.",1,164,463.0,6863756
"Blankinship & Foster, LLC",1,79,462.7,6260564
Dorsey Wright & Associates,1,124,462.6,5874814
Vantage Wealth,1,30,462.6,2858704
Riposte Capital LLC,1,26,462.3,6639914
Kiltearn Partners LLP,1,26,461.7,17622488
Rudius Management LP,1,3,461.0,5071012
"Francisco Partners Management, LP",1,2,461.0,90424471
"WestCap Management, LLC",1,2,460.3,32803254
"Empire Financial Management Company, LLC",1,196,460.2,8416621
"Nvwm, LLC",1,675,459.6,3889349
"Liquid Strategies, LLC",1,8,459.4,2248098
"one8zero8, LLC",1,246,458.7,6050386
111 Capital,1,309,458.4,3703287
"Miramar Capital, LLC",1,55,457.6,3136583
"DDFG, Inc",1,86,456.8,5870354
New York Life Insurance Co,1,3,456.1,6031231
Eagle Health Investments LP,1,28,455.1,9283319
Halter Ferguson Financial Inc.,1,33,455.0,6280683
Landaas & Co /wi /adv,1,119,454.5,3959325
"DecisionPoint Financial, LLC",1,699,454.5,9982598
Almitas Capital LLC,1,76,454.2,40633762
Garden State Investment Advisory Services LLC,1,246,454.1,6671397
"Winch Advisory Services, LLC",1,446,452.1,4588266
"Waller Financial Planning Group, Inc",1,75,450.4,5941921
"Aspire Private Capital, LLC",1,167,449.6,6945269
Long Walk Management LP,1,8,449.5,7080600
"Bulldog Investors, LLP",1,73,449.0,49570814
Shelter Mutual Insurance Co,1,58,448.3,3501934
Wealth Group Ltd,1,79,446.8,3437683
"Fairvoy Private Wealth, LLC",1,190,446.7,4219582
"3Chopt Investment Partners, LLC",1,222,446.3,2718299
"Kraft, Davis & Associates, LLC",1,143,446.2,4484668
Townsquare Capital LLC,1,238,446.1,3369477
Genworth Financial Inc,1,2,445.8,1075326
"Financial & Tax Architects, LLC",1,100,445.0,5230819
Wolff Financial Management LLC,1,101,444.6,3995648
"Axq Capital, LP",1,667,443.4,13560171
Archer Investment Corp,1,975,443.3,6845362
"Delta Air Lines, Inc.",1,2,442.9,281184140
"Grace & Mercy Foundation, Inc.",1,16,442.6,5328905
"Ancient Art, L.P.",1,9,442.1,20821142
Dynamic Technology Lab Private Ltd,1,660,441.4,15190562
"Roof Eidam Maycock Peralta, LLC",1,124,441.3,4403190
First Reserve GP XIII Ltd,1,2,441.0,26251764
"Mason & Associates, LLC",1,39,439.8,6144594
"Msop Gp, L.L.C.",1,3,439.3,17484029
Crow's Nest Holdings LP,1,8,439.2,2580525
Sagil Capital LLP,1,18,438.9,14597551
Sector Gamma As,1,36,438.7,7131022
"BetterWealth, LLC",1,70,438.6,8830476
"PKS Advisory Services, LLC",1,239,438.4,4313056
Mandatum Life Insurance Co Ltd,1,73,438.0,2683266
"Schusterman Interests, LLC",1,9,436.9,7790255
"Tempus Wealth Planning, LLC",1,263,436.5,6906807
"Van Den Berg Management I, Inc",1,119,436.5,10108980
Laurore Ltd,1,1,436.2,8786279
"Trinity Legacy Partners, LLC",1,95,435.9,6851443
"Prudent Investors Network, Inc.",1,69,435.8,7234064
Meiji Yasuda America Inc,1,56,435.6,2026434
"Weil Company, Inc.",1,109,434.8,5361959
Anchor @ 65 Pte. Ltd.,1,2,434.0,94537410
High Net Worth Advisory Group LLC,1,229,433.9,4640867
Cincinnati Specialty Underwriters Insurance CO,1,37,433.5,2424012
"NetEase, Inc.",1,2,432.4,6453781
Beacon Financial Advisory LLC,1,326,431.6,6660366
"Inlet Private Wealth, LLC",1,126,431.1,4260627
Catalyst Funds Management Pty Ltd,1,316,430.9,8644512
"American Investment Services, Inc.",1,127,430.9,6165493
"Vertex Planning Partners, LLC",1,123,430.4,6597195
"Square Wave Capital, LLC",1,9,430.2,1631637
NatWest Group plc,1,38,429.6,2170923
RV Capital AG,1,12,429.5,2757752
Fosun International Ltd,1,51,429.5,185093538
"Slotnik Capital, LLC",1,26,429.4,7921822
"Trv Gp V, LLC",1,3,429.2,14301624
"Summit Wealth Group, LLC",1,118,428.3,6160355
"Mattson Financial Services, LLC",1,159,428.2,5055138
"Abel Hall, LLC",1,665,428.2,11022972
"Medina Value Partners, LLC",1,21,428.0,13045476
"Triune Financial Partners, LLC",1,49,427.8,9675261
Kotler Kevin,1,34,427.5,14994272
"Ballast, Inc.",1,133,427.3,3405649
"Peak Retirement Planning, Inc.",1,142,427.1,4668960
"Chapin Davis, Inc.",1,232,426.7,4747751
Fortress Investment Group LLC,1,33,426.2,51192964
"ORG Wealth Partners, LLC",1,536,425.6,17491967
Tejara Capital Ltd,1,54,424.8,31888852
"Summit Wealth & Retirement Planning, Inc.",1,108,424.7,8043920
"Whitcomb & Hess, Inc.",1,52,424.1,7791294
Wealthspring Capital LLC,1,40,423.6,64922448
"DeDora Capital, Inc.",1,114,422.5,3504406
"Nokomis Capital, L.L.C.",1,49,422.4,60630536
"Midwest Professional Planners, LTD.",1,137,422.2,3570289
"Lisanti Capital Growth, LLC",1,103,422.1,7511904
ArchPoint Investors,1,75,421.7,5292024
"Magnitude Capital, LLC",1,1,421.2,15096940
G2 Investment Partners Management LLC,1,65,420.7,18702002
"Mbm Wealth Consultants, LLC",1,109,420.5,4887910
MilWealth Group LLC,1,73,420.1,5273894
"Alpine Woods Capital Investors, LLC",1,171,420.0,3508687
Aegis Financial Corp,1,30,419.3,31542714
"Tradewinds, LLC.",1,208,419.0,3330846
Prostatis Group LLC,1,148,418.8,6864286
"Warther Private Wealth, LLC",1,47,418.4,3895641
"Nikulski Financial, Inc.",1,160,418.3,3492756
"Pennant Investors, LP",1,15,417.9,9187547
"Oak Harbor Wealth Partners, LLC",1,269,416.5,3938144
Gavilan Investment Partners LLC,1,12,416.4,2967000
"Strategic Investment Solutions, Inc. /IL",1,545,415.9,5803063
RIA Advisory Group LLC,1,139,415.9,4052826
RDA Financial Network,1,256,415.4,4835176
Meridian Investment Counsel Inc.,1,226,415.0,4617159
Capricorn Fund Managers Ltd,1,76,414.9,11242102
SWS Partners,1,113,414.3,9452781
Uncommon Cents Investing LLC,1,186,413.1,8867763
HWG Holdings LP,1,44,412.7,1598462
Clark Estates Inc /NY/,1,95,412.1,15792258
"KFA Private Wealth Group, LLC",1,145,411.2,4119774
"Technology Crossover Management VIII, Ltd.",1,5,410.7,41463725
"D.B. Root & Company, LLC",1,175,409.9,7774404
"Ewa, LLC",1,254,409.6,4979775
Weaver Consulting Group,1,211,409.0,6547023
"Dunhill Financial, LLC",1,1927,408.9,4507219
Arjuna Capital,1,107,408.2,3554434
Al Warda Investments RSC Ltd,1,1,408.1,8218712
"Dodds Wealth, LLC",1,56,407.8,8226308
"Farringdon Capital, Ltd.",1,404,407.5,7196324
"Bill Few Associates, Inc.",1,185,406.8,4326020
"Goodman Advisory Group, LLC",1,178,406.4,5146675
"Brown, Lisle/cummings, Inc.",1,703,405.9,3295064
"Briaud Financial Planning, Inc",1,37,405.9,4423657
"Logan Stone Capital, LLC",1,72,405.5,27443555
"Wellington Shields & Co., LLC",1,309,405.4,4138117
