investor_name,ciks,positions,aum_mm,total_shares
"Boothbay Fund Management, LLC",1,1419,6702.6,191213100
"ICONIQ Capital, LLC",1,80,6620.6,162851774
Altshuler Shaham Ltd,1,358,6579.1,100278935
"Signaturefd, LLC",1,3027,6548.4,68303185
Cincinnati Insurance Co,1,59,6546.3,47107036
"Bokf, NA",1,977,6534.1,53000076
Elo Mutual Pension Insurance Co,1,587,6526.1,49276784
Bristol John W & Co Inc /NY/,1,60,6503.0,36252359
Ethic Inc.,1,1138,6502.8,63233545
Cambridge Associates LLC /ma/ /adv,1,57,6491.8,57160669
"Principal Securities, Inc.",1,1187,6481.6,103317658
"Ruane, Cunniff & Goldfarb L.P.",1,46,6402.5,37872965
Briar Hall Management LLC,1,1,6367.1,25850978
Gradient Investments LLC,1,297,6299.8,90718198
"Samlyn Capital, LLC",1,70,6277.3,91437845
Kohlberg Kravis Roberts & Co. L.P.,1,85,6254.8,546797390
J. Safra Sarasin Holding AG,1,475,6148.5,43595189
"Letko, Brosseau & Associates Inc",1,94,6107.6,134751540
Prospera Financial Services Inc,1,1179,6092.6,76123384
"RiverFront Investment Group, LLC",1,316,6063.4,76902940
"OpenArc Corporate Advisory, LLC",1,621,6049.8,60979020
Mizuho Securities Usa LLC,1,583,6049.4,297749103
Old National Bancorp /IN/,1,569,6018.8,88417747
Crawford Investment Counsel Inc,1,291,6006.9,60523636
"Danica Pension, Livsforsikringsaktieselskab",1,79,5974.5,44964638
Quilter Plc,1,125,5955.8,29923254
"NorthRock Partners, LLC",1,573,5926.8,70438576
Gf Fund Management Co. Ltd.,1,626,5850.5,37250589
"Nearwater Capital Markets, Ltd",1,103,5847.3,55584876
Davis R M Inc,1,268,5808.6,36039403
"Curi RMB Capital, LLC",1,827,5771.1,63634332
"Japan Post Holdings Co., Ltd.",1,1,5767.1,52300000
Gendell Jeffrey L,1,77,5755.8,94966114
Harvest Portfolios Group Inc.,1,247,5751.0,47069593
Reaves W H & Co Inc,1,80,5717.1,73798038
"Nicholas Company, Inc.",1,200,5709.7,43192242
