crd,firm_name,legal_name,city,state,aum_billions,name_match_score,flag
110302,JMG FINANCIAL GROUP LTD,JMG FINANCIAL GROUP LTD,DOWNERS GROVE,IL,6.37,100,MINOR_VARIANT
108347,NICHOLAS CO INC,NICHOLAS CO INC,MILWAUKEE,WI,6.08,100,MINOR_VARIANT
157934,KENSICO CAPITAL MANAGEMENT CORP.,KENSICO CAPITAL MANAGEMENT CORP.,GREENWICH,CT,6.03,100,MINOR_VARIANT
147662,CHICAGO PARTNERS INVESTMENT GROUP LLC,CHICAGO PARTNERS INVESTMENT GROUP LLC,CHICAGO,IL,5.96,100,MINOR_VARIANT
105466,"BECK, MACK & OLIVER LLC","BECK, MACK & OLIVER LLC",NEW YORK,NY,5.91,100,MINOR_VARIANT
135188,"EVANSON ASSET MANAGEMENT, LLC","EVANSON ASSET MANAGEMENT, LLC",,,5.91,100,MINOR_VARIANT
109629,KCM INVESTMENT ADVISORS,"KCM INVESTMENT ADVISORS, LLC",GREENBRAE,CA,5.85,90,MINOR_VARIANT
105879,DANA INVESTMENT ADVISORS INC,DANA INVESTMENT ADVISORS INC,WAUKESHA,WI,5.76,100,MINOR_VARIANT
106746,DISCIPLINED GROWTH INVESTORS INC,DISCIPLINED GROWTH INVESTORS INC,MINNEAPOLIS,MN,5.75,100,MINOR_VARIANT
110692,SPC,SIGMA PLANNING CORPORATION,ANN ARBOR,MI,5.66,7,DBA_MISMATCH
160404,GMT CAPITAL CORP.,GMT CAPITAL CORP.,ATLANTA,GA,5.58,100,MINOR_VARIANT
168978,ARMISTICE CAPITAL LLC,ARMISTICE CAPITAL LLC,NEW YORK,NY,5.54,100,MINOR_VARIANT
301152,"ATREIDES MANAGEMENT, LP","ATREIDES MANAGEMENT, LP",BOSTON,MA,5.52,100,MINOR_VARIANT
173527,HOSKING PARTNERS LLP,HOSKING PARTNERS LLP,LONDON,,5.49,100,MINOR_VARIANT
146615,MAINSTREET ADVISORS,MAINSTREET INVESTMENT ADVISORS LLC,CHICAGO,IL,5.41,72,DBA_MISMATCH
161005,ALTAROCK PARTNERS LP,ALTAROCK PARTNERS LP,WEST PALM BEACH,FL,5.41,100,MINOR_VARIANT
105664,"TRUEPOINT, INC.","TRUEPOINT, INC.",CINCINNATI,OH,5.39,100,MINOR_VARIANT
109143,"INDEX FUND ADVISORS, INC.","INDEX FUND ADVISORS, INC.",IRVINE,CA,5.33,100,MINOR_VARIANT
159868,"VIVO CAPITAL, LLC",VIVO CAPITAL LLC,PALO ALTO,CA,5.32,97,MINOR_VARIANT
109473,TODD ASSET MANAGEMENT LLC,TODD ASSET MANAGEMENT LLC,LOUISVILLE,KY,5.09,100,MINOR_VARIANT
291699,METROPOLIS CAPITAL LIMITED,METROPOLIS CAPITAL LIMITED,"AMERSHAM, BUCKINGHAMSHIRE",,5.07,100,MINOR_VARIANT
170912,CRESCENT GROVE ADVISORS,"CRESCENT GROVE ADVISORS, LLC",LAKE FOREST,IL,5.0,90,MINOR_VARIANT
110489,"BECKER CAPITAL MANAGEMENT, INC.",BECKER CAPITAL MANAGEMENT INC,PORTLAND,OR,4.98,97,MINOR_VARIANT
131660,"AMERICAN ASSETS INVESTMENT MANAGEMENT, LLC","AMERICAN ASSETS INVESTMENT MANAGEMENT, LLC",SAN DIEGO,CA,4.9,100,MINOR_VARIANT
107517,SYM FINANCIAL ADVISORS,SYM FINANCIAL CORPORATION,WINONA LAKE,IN,4.88,72,DBA_MISMATCH
226755,"APPLIED FINANCE CAPITAL MANAGEMENT, LLC","APPLIED FINANCE CAPITAL MANAGEMENT, LLC",SAN JUAN,PR,4.86,100,MINOR_VARIANT
125618,"KLINGMAN AND ASSOCIATES, LLC","KLINGMAN AND ASSOCIATES, LLC",NEW YORK,NY,4.84,100,MINOR_VARIANT
170824,"QUANTBOT TECHNOLOGIES, LP","QUANTBOT TECHNOLOGIES, LP",NEW YORK,NY,4.83,100,MINOR_VARIANT
105056,STACEY BRAUN ASSOCIATES INC,STACEY BRAUN ASSOCIATES INC,NEW YORK,NY,4.82,100,MINOR_VARIANT
109528,"MAINSTAY CAPITAL MANAGEMENT, LLC","MAINSTAY CAPITAL MANAGEMENT, LLC",GRAND BLANC,MI,4.8,100,MINOR_VARIANT
172685,"CLEAR INVESTMENT RESEARCH, LLC","CLEAR INVESTMENT RESEARCH, LLC",ALPHARETTA,GA,4.66,100,MINOR_VARIANT
105153,"BOWEN, HANES & CO INC","BOWEN, HANES & CO INC",PONTE VEDRA BEACH,FL,4.62,100,MINOR_VARIANT
106417,GLOBEFLEX CAPITAL LP,GLOBEFLEX CAPITAL LP,SAN DIEGO,CA,4.56,100,MINOR_VARIANT
157746,COOPER CREEK PARTNERS MANAGEMENT LLC,COOPER CREEK PARTNERS MANAGEMENT LLC,NEW YORK,NY,4.52,100,MINOR_VARIANT
108033,CLIFFORD SWAN INVESTMENT COUNSELORS,CLIFFORD SWAN INVESTMENT COUNSEL LLC,PASADENA,CA,4.48,90,MINOR_VARIANT
137312,"SENVEST MANAGEMENT, LLC","SENVEST MANAGEMENT, LLC",NEW YORK,NY,4.44,100,MINOR_VARIANT
159894,"MAPLELANE CAPITAL, LLC","MAPLELANE CAPITAL, LLC",NEW YORK,NY,4.41,100,MINOR_VARIANT
104951,FAMILY MANAGE LLC,FAMILY MANAGE LLC,NEW YORK,NY,4.4,100,MINOR_VARIANT
109116,HAMILTON CAPITAL,"HAMILTON CAPITAL, LLC",COLUMBUS,OH,4.38,86,MINOR_VARIANT
